frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,11,0,2,0,0,13,0.8461538461538461
1,11,2,2,0,0,15,0.7333333333333333
2,11,1,2,0,0,14,0.7857142857142857
3,13,2,1,0,0,16,0.8125
4,12,1,2,0,0,15,0.8
5,11,2,2,0,0,15,0.7333333333333333
6,12,1,2,0,0,15,0.8
7,10,1,2,0,0,13,0.7692307692307693
8,10,0,2,1,0,13,0.7692307692307693
9,13,0,2,0,0,15,0.8666666666666667
10,12,1,2,0,0,15,0.8
11,10,1,3,0,0,14,0.7142857142857143
12,11,2,1,0,0,14,0.7857142857142857
13,12,0,2,0,0,14,0.8571428571428571
14,12,1,2,0,0,15,0.8
15,9,1,2,0,0,12,0.75
16,12,1,2,0,0,15,0.8
17,13,0,2,1,0,16,0.8125
18,10,1,2,0,0,13,0.7692307692307693
19,13,0,2,1,0,16,0.8125
20,12,1,2,1,0,16,0.75
21,11,1,2,1,0,15,0.7333333333333333
22,12,1,2,1,0,16,0.75
23,12,0,2,1,0,15,0.8
24,12,1,2,1,0,16,0.75
25,13,1,2,1,0,17,0.7647058823529411
26,12,1,2,1,0,16,0.75
27,12,0,2,1,0,15,0.8
28,12,2,2,1,0,17,0.7058823529411765
29,13,1,3,1,0,18,0.7222222222222222
30,13,1,2,1,0,17,0.7647058823529411
31,12,1,2,1,0,16,0.75
32,13,0,2,1,0,16,0.8125
33,13,1,2,1,0,17,0.7647058823529411
34,13,1,2,1,0,17,0.7647058823529411
35,13,1,2,1,0,17,0.7647058823529411
36,13,0,2,1,0,16,0.8125
37,13,1,2,1,0,17,0.7647058823529411
38,13,1,2,1,0,17,0.7647058823529411
39,13,1,2,1,0,17,0.7647058823529411
40,12,0,2,1,0,15,0.8
41,12,0,2,1,0,15,0.8
42,12,0,2,1,0,15,0.8
43,13,1,2,1,0,17,0.7647058823529411
44,13,1,2,1,0,17,0.7647058823529411
45,12,0,2,1,0,15,0.8
46,12,1,2,1,0,16,0.75
47,13,2,2,1,0,18,0.7222222222222222
48,13,1,2,1,0,17,0.7647058823529411
49,13,1,2,1,0,17,0.7647058823529411
50,12,2,2,1,0,17,0.7058823529411765
51,12,2,2,1,0,17,0.7058823529411765
52,13,1,2,1,0,17,0.7647058823529411
53,12,1,3,1,0,17,0.7058823529411765
54,12,2,2,1,0,17,0.7058823529411765
55,12,3,2,1,0,18,0.6666666666666666
56,11,3,3,1,0,18,0.6111111111111112
57,12,0,2,1,0,15,0.8
58,13,1,2,1,0,17,0.7647058823529411
59,11,3,2,1,0,17,0.6470588235294118
60,12,1,2,1,0,16,0.75
61,13,1,2,1,0,17,0.7647058823529411
62,13,1,2,1,0,17,0.7647058823529411
63,12,1,2,1,0,16,0.75
64,12,2,2,1,0,17,0.7058823529411765
65,12,1,2,1,0,16,0.75
66,9,2,2,1,0,14,0.6428571428571429
67,11,3,2,1,0,17,0.6470588235294118
68,10,2,2,0,0,14,0.7142857142857143
69,11,1,2,0,0,14,0.7857142857142857
70,12,2,2,1,0,17,0.7058823529411765
71,13,1,2,1,0,17,0.7647058823529411
72,12,2,3,1,0,18,0.6666666666666666
73,13,2,2,0,0,17,0.7647058823529411
74,11,2,2,0,0,15,0.7333333333333333
75,12,1,2,0,0,15,0.8
76,12,3,2,1,0,18,0.6666666666666666
77,12,1,2,1,0,16,0.75
78,11,1,2,1,0,15,0.7333333333333333
79,10,1,3,1,0,15,0.6666666666666666
80,13,2,3,1,0,19,0.6842105263157895
81,13,1,2,1,0,17,0.7647058823529411
82,12,1,2,1,0,16,0.75
83,13,3,2,1,0,19,0.6842105263157895
84,11,1,2,1,0,15,0.7333333333333333
85,12,2,2,1,0,17,0.7058823529411765
86,13,1,2,1,0,17,0.7647058823529411
87,13,1,2,1,0,17,0.7647058823529411
88,13,1,2,0,0,16,0.8125
89,12,2,2,1,0,17,0.7058823529411765
90,12,2,3,1,0,18,0.6666666666666666
91,12,2,3,0,0,17,0.7058823529411765
92,11,3,2,0,0,16,0.6875
93,11,4,2,1,0,18,0.6111111111111112
94,12,2,2,1,0,17,0.7058823529411765
95,12,2,2,1,0,17,0.7058823529411765
96,12,1,2,1,0,16,0.75
97,12,2,2,1,0,17,0.7058823529411765
98,12,1,2,1,0,16,0.75
99,13,0,3,1,0,17,0.7647058823529411
100,12,1,3,1,0,17,0.7058823529411765
101,11,2,2,1,0,16,0.6875
102,13,1,2,0,0,16,0.8125
103,11,0,2,0,0,13,0.8461538461538461
104,10,0,2,0,0,12,0.8333333333333334
105,11,1,2,1,0,15,0.7333333333333333
106,10,1,2,1,0,14,0.7142857142857143
107,8,1,3,0,0,12,0.6666666666666666
108,10,0,3,0,0,13,0.7692307692307693
109,8,0,3,0,0,11,0.7272727272727273
110,11,0,3,0,0,14,0.7857142857142857
111,11,0,2,0,0,13,0.8461538461538461
112,8,1,2,0,0,11,0.7272727272727273
113,11,2,2,0,0,15,0.7333333333333333
114,10,1,2,0,0,13,0.7692307692307693
115,10,2,2,0,0,14,0.7142857142857143
116,10,0,2,0,0,12,0.8333333333333334
117,11,2,2,0,0,15,0.7333333333333333
118,12,2,2,0,0,16,0.75
119,10,1,2,0,0,13,0.7692307692307693
120,12,2,2,0,0,16,0.75
121,10,2,2,0,0,14,0.7142857142857143
122,9,1,2,0,0,12,0.75
123,10,1,2,0,0,13,0.7692307692307693
124,11,1,3,0,0,15,0.7333333333333333
125,12,1,3,0,0,16,0.75
126,12,2,3,0,0,17,0.7058823529411765
127,10,1,3,0,0,14,0.7142857142857143
128,9,1,3,0,0,13,0.6923076923076923
129,11,1,3,0,0,15,0.7333333333333333
130,9,1,3,0,0,13,0.6923076923076923
131,11,0,3,0,0,14,0.7857142857142857
132,12,2,3,0,0,17,0.7058823529411765
133,11,1,3,0,0,15,0.7333333333333333
134,10,1,3,0,0,14,0.7142857142857143
135,12,3,2,0,0,17,0.7058823529411765
136,8,3,3,0,0,14,0.5714285714285714
137,12,1,2,0,0,15,0.8
138,9,2,2,0,0,13,0.6923076923076923
139,10,3,2,0,0,15,0.6666666666666666
140,12,3,2,0,0,17,0.7058823529411765
141,8,1,2,0,0,11,0.7272727272727273
142,9,1,2,0,0,12,0.75
143,11,2,3,0,0,16,0.6875
144,11,1,3,0,0,15,0.7333333333333333
145,10,1,3,0,0,14,0.7142857142857143
146,13,1,3,0,0,17,0.7647058823529411
147,11,3,2,0,0,16,0.6875
148,11,3,2,0,0,16,0.6875
149,11,3,2,0,0,16,0.6875
150,13,1,3,0,0,17,0.7647058823529411
151,12,2,2,0,0,16,0.75
152,11,3,2,0,0,16,0.6875
153,13,3,2,1,0,19,0.6842105263157895
154,12,3,2,0,0,17,0.7058823529411765
155,12,3,2,0,0,17,0.7058823529411765
156,12,3,2,0,0,17,0.7058823529411765
157,11,2,2,0,0,15,0.7333333333333333
158,12,3,3,0,0,18,0.6666666666666666
159,10,2,3,0,0,15,0.6666666666666666
160,10,2,2,0,0,14,0.7142857142857143
161,10,1,3,0,0,14,0.7142857142857143
162,11,2,3,0,0,16,0.6875
163,11,1,3,0,0,15,0.7333333333333333
164,8,2,2,0,0,12,0.6666666666666666
165,12,2,2,0,0,16,0.75
166,10,2,3,0,0,15,0.6666666666666666
167,9,2,3,0,0,14,0.6428571428571429
168,9,1,3,0,0,13,0.6923076923076923
169,11,1,3,0,0,15,0.7333333333333333
170,10,2,3,0,0,15,0.6666666666666666
171,10,2,3,0,0,15,0.6666666666666666
172,13,2,3,0,0,18,0.7222222222222222
173,11,2,3,0,0,16,0.6875
174,9,1,3,0,0,13,0.6923076923076923
175,11,2,3,0,0,16,0.6875
