frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,11,2,3,0,0,16,0.6875
1,10,2,4,0,0,16,0.625
2,11,1,4,1,0,17,0.6470588235294118
3,13,1,3,1,0,18,0.7222222222222222
4,11,1,3,1,0,16,0.6875
5,14,1,3,1,0,19,0.7368421052631579
6,14,1,3,1,0,19,0.7368421052631579
7,13,1,3,1,0,18,0.7222222222222222
8,13,2,3,1,0,19,0.6842105263157895
9,13,2,3,0,0,18,0.7222222222222222
10,13,1,4,1,0,19,0.6842105263157895
11,12,1,3,1,0,17,0.7058823529411765
12,10,1,3,1,0,15,0.6666666666666666
13,11,1,4,1,0,17,0.6470588235294118
14,12,1,4,1,0,18,0.6666666666666666
15,13,1,3,1,0,18,0.7222222222222222
16,13,1,3,1,0,18,0.7222222222222222
17,12,1,3,1,0,17,0.7058823529411765
18,11,1,3,1,0,16,0.6875
19,13,1,3,0,0,17,0.7647058823529411
20,13,1,3,1,0,18,0.7222222222222222
21,12,1,4,1,0,18,0.6666666666666666
22,11,1,3,1,0,16,0.6875
23,13,2,3,1,0,19,0.6842105263157895
24,12,2,3,1,0,18,0.6666666666666666
25,12,1,3,1,0,17,0.7058823529411765
26,12,2,4,1,0,19,0.631578947368421
27,11,1,3,1,0,16,0.6875
28,14,1,4,1,0,20,0.7
29,11,1,3,1,0,16,0.6875
30,13,1,4,1,0,19,0.6842105263157895
31,14,1,3,1,0,19,0.7368421052631579
32,12,1,4,1,0,18,0.6666666666666666
33,12,1,3,1,0,17,0.7058823529411765
34,13,1,3,1,0,18,0.7222222222222222
35,12,1,3,1,0,17,0.7058823529411765
36,10,1,4,1,0,16,0.625
37,11,1,3,1,0,16,0.6875
38,12,1,3,0,0,16,0.75
39,11,2,3,0,0,16,0.6875
40,13,1,3,1,0,18,0.7222222222222222
41,12,1,3,1,0,17,0.7058823529411765
42,11,1,3,1,0,16,0.6875
43,13,1,3,1,0,18,0.7222222222222222
44,13,1,3,1,0,18,0.7222222222222222
45,13,1,3,1,0,18,0.7222222222222222
46,11,1,4,1,0,17,0.6470588235294118
47,14,1,3,1,0,19,0.7368421052631579
48,11,1,3,1,0,16,0.6875
49,13,1,3,1,0,18,0.7222222222222222
50,12,1,3,0,0,16,0.75
51,12,1,3,1,0,17,0.7058823529411765
52,14,1,3,1,0,19,0.7368421052631579
53,14,1,3,1,0,19,0.7368421052631579
54,12,1,3,1,0,17,0.7058823529411765
55,12,1,3,1,0,17,0.7058823529411765
56,10,1,3,1,0,15,0.6666666666666666
57,11,1,3,1,0,16,0.6875
58,13,1,3,0,0,17,0.7647058823529411
59,12,1,3,0,0,16,0.75
60,12,1,3,1,0,17,0.7058823529411765
61,11,2,3,0,0,16,0.6875
62,12,2,3,0,0,17,0.7058823529411765
63,12,1,3,1,0,17,0.7058823529411765
64,14,1,3,1,0,19,0.7368421052631579
65,12,1,3,1,0,17,0.7058823529411765
66,12,1,3,1,0,17,0.7058823529411765
67,14,1,3,1,0,19,0.7368421052631579
68,11,1,3,1,0,16,0.6875
69,11,1,3,1,0,16,0.6875
70,10,1,3,1,0,15,0.6666666666666666
71,12,1,3,1,0,17,0.7058823529411765
72,14,2,3,1,0,20,0.7
73,10,1,3,1,0,15,0.6666666666666666
74,11,1,3,1,0,16,0.6875
75,14,1,3,1,0,19,0.7368421052631579
76,12,2,3,1,0,18,0.6666666666666666
77,12,1,3,1,0,17,0.7058823529411765
78,12,2,3,0,0,17,0.7058823529411765
79,14,1,3,1,0,19,0.7368421052631579
80,12,1,3,1,0,17,0.7058823529411765
81,12,1,3,1,0,17,0.7058823529411765
82,14,1,3,1,0,19,0.7368421052631579
83,14,1,3,1,0,19,0.7368421052631579
84,14,1,3,1,0,19,0.7368421052631579
85,12,1,3,1,0,17,0.7058823529411765
86,11,1,3,0,0,15,0.7333333333333333
87,14,1,3,1,0,19,0.7368421052631579
88,10,1,3,0,0,14,0.7142857142857143
89,14,1,3,1,0,19,0.7368421052631579
90,13,2,3,1,0,19,0.6842105263157895
91,13,1,3,1,0,18,0.7222222222222222
92,12,1,4,0,0,17,0.7058823529411765
93,13,1,3,1,0,18,0.7222222222222222
94,15,2,3,1,0,21,0.7142857142857143
95,12,2,3,1,0,18,0.6666666666666666
96,13,1,3,1,0,18,0.7222222222222222
97,12,1,3,1,0,17,0.7058823529411765
98,12,1,3,0,0,16,0.75
99,12,1,3,1,0,17,0.7058823529411765
100,12,1,4,1,0,18,0.6666666666666666
101,13,1,3,1,0,18,0.7222222222222222
102,12,1,4,0,0,17,0.7058823529411765
103,12,1,3,1,0,17,0.7058823529411765
104,11,2,3,1,0,17,0.6470588235294118
105,9,2,3,0,0,14,0.6428571428571429
106,9,2,4,1,0,16,0.5625
107,10,1,3,1,0,15,0.6666666666666666
108,11,2,3,1,0,17,0.6470588235294118
109,13,1,3,0,0,17,0.7647058823529411
110,12,1,3,1,0,17,0.7058823529411765
111,11,2,4,0,0,17,0.6470588235294118
112,9,1,3,0,0,13,0.6923076923076923
113,11,2,4,1,0,18,0.6111111111111112
114,10,4,3,0,0,17,0.5882352941176471
115,10,2,3,0,0,15,0.6666666666666666
116,11,2,3,0,0,16,0.6875
117,12,2,3,0,0,17,0.7058823529411765
118,13,2,3,0,0,18,0.7222222222222222
119,12,1,3,1,0,17,0.7058823529411765
120,12,1,3,0,0,16,0.75
121,13,1,3,0,0,17,0.7647058823529411
122,13,1,3,0,0,17,0.7647058823529411
123,12,2,3,0,0,17,0.7058823529411765
124,12,2,3,0,0,17,0.7058823529411765
125,11,1,3,0,0,15,0.7333333333333333
126,12,1,3,0,0,16,0.75
127,10,2,3,1,0,16,0.625
128,10,2,3,1,0,16,0.625
129,12,1,3,0,0,16,0.75
130,12,1,3,0,0,16,0.75
131,13,2,3,1,0,19,0.6842105263157895
132,11,2,4,0,0,17,0.6470588235294118
133,11,2,3,0,0,16,0.6875
134,11,1,3,0,0,15,0.7333333333333333
135,11,1,3,0,0,15,0.7333333333333333
136,11,2,3,0,0,16,0.6875
137,11,2,4,0,0,17,0.6470588235294118
138,13,0,3,0,0,16,0.8125
139,11,1,3,1,0,16,0.6875
140,9,1,3,1,0,14,0.6428571428571429
141,12,2,3,0,0,17,0.7058823529411765
142,15,2,3,0,0,20,0.75
143,13,2,3,0,0,18,0.7222222222222222
144,10,1,3,0,0,14,0.7142857142857143
145,13,1,3,1,0,18,0.7222222222222222
146,11,1,3,0,0,15,0.7333333333333333
147,12,0,3,0,0,15,0.8
148,13,1,3,0,0,17,0.7647058823529411
149,10,1,3,0,0,14,0.7142857142857143
150,11,1,3,0,0,15,0.7333333333333333
151,12,1,4,0,0,17,0.7058823529411765
152,12,1,3,0,0,16,0.75
153,13,0,3,1,0,17,0.7647058823529411
154,11,1,3,0,0,15,0.7333333333333333
155,10,1,3,0,0,14,0.7142857142857143
156,16,1,3,0,0,20,0.8
157,13,0,3,0,0,16,0.8125
158,14,0,3,1,0,18,0.7777777777777778
159,14,0,3,0,0,17,0.8235294117647058
160,14,1,3,0,0,18,0.7777777777777778
161,14,1,3,0,0,18,0.7777777777777778
162,11,2,3,0,0,16,0.6875
163,10,1,3,0,0,14,0.7142857142857143
164,14,0,4,0,0,18,0.7777777777777778
165,13,1,3,0,0,17,0.7647058823529411
166,10,1,3,0,0,14,0.7142857142857143
167,11,1,3,0,0,15,0.7333333333333333
168,12,1,3,0,0,16,0.75
169,13,2,3,1,0,19,0.6842105263157895
170,13,0,3,1,0,17,0.7647058823529411
171,11,2,4,0,0,17,0.6470588235294118
172,12,1,4,0,0,17,0.7058823529411765
173,13,2,3,0,0,18,0.7222222222222222
174,11,2,4,1,0,18,0.6111111111111112
175,13,2,3,1,0,19,0.6842105263157895
176,12,1,3,0,0,16,0.75
177,10,2,4,0,0,16,0.625
178,13,2,3,0,0,18,0.7222222222222222
179,11,2,3,0,0,16,0.6875
180,13,2,3,0,0,18,0.7222222222222222
181,9,2,3,0,0,14,0.6428571428571429
182,13,2,3,0,0,18,0.7222222222222222
183,11,2,4,1,0,18,0.6111111111111112
184,12,2,4,0,0,18,0.6666666666666666
185,12,2,3,0,0,17,0.7058823529411765
186,14,3,3,0,0,20,0.7
187,14,2,3,1,0,20,0.7
188,12,2,3,0,0,17,0.7058823529411765
189,12,2,3,1,0,18,0.6666666666666666
190,11,1,3,1,0,16,0.6875
191,12,1,3,1,0,17,0.7058823529411765
192,11,1,3,0,0,15,0.7333333333333333
193,14,2,3,1,0,20,0.7
194,12,1,3,0,0,16,0.75
195,11,2,3,0,0,16,0.6875
196,11,2,3,0,0,16,0.6875
197,13,2,3,0,0,18,0.7222222222222222
198,11,3,3,1,0,18,0.6111111111111112
199,12,1,3,1,0,17,0.7058823529411765
200,13,1,3,0,0,17,0.7647058823529411
201,10,3,3,0,0,16,0.625
202,11,2,3,1,0,17,0.6470588235294118
203,13,2,3,0,0,18,0.7222222222222222
204,12,1,3,1,0,17,0.7058823529411765
205,11,2,3,0,0,16,0.6875
206,11,1,3,0,0,15,0.7333333333333333
207,10,2,3,1,0,16,0.625
208,12,1,3,0,0,16,0.75
209,11,1,3,1,0,16,0.6875
210,13,2,3,1,0,19,0.6842105263157895
211,11,3,3,1,0,18,0.6111111111111112
212,12,2,3,0,0,17,0.7058823529411765
213,11,2,3,1,0,17,0.6470588235294118
214,11,2,3,0,0,16,0.6875
215,13,1,3,0,0,17,0.7647058823529411
216,11,2,3,0,0,16,0.6875
217,12,2,3,0,0,17,0.7058823529411765
218,11,2,3,0,0,16,0.6875
219,11,2,3,0,0,16,0.6875
220,12,2,3,0,0,17,0.7058823529411765
221,11,3,3,1,0,18,0.6111111111111112
222,11,2,4,0,0,17,0.6470588235294118
223,13,2,3,0,0,18,0.7222222222222222
224,12,2,3,0,0,17,0.7058823529411765
225,13,0,3,0,0,16,0.8125
226,12,2,3,0,0,17,0.7058823529411765
227,13,1,3,1,0,18,0.7222222222222222
228,12,2,3,1,0,18,0.6666666666666666
229,12,2,3,1,0,18,0.6666666666666666
230,13,2,3,0,0,18,0.7222222222222222
231,10,2,3,0,0,15,0.6666666666666666
232,12,3,3,0,0,18,0.6666666666666666
233,12,0,3,0,0,15,0.8
234,12,1,3,1,0,17,0.7058823529411765
235,11,0,3,0,0,14,0.7857142857142857
236,12,1,3,0,0,16,0.75
237,11,1,3,1,0,16,0.6875
238,13,2,3,0,0,18,0.7222222222222222
239,12,3,3,0,0,18,0.6666666666666666
240,11,2,3,1,0,17,0.6470588235294118
241,13,1,3,0,0,17,0.7647058823529411
242,12,2,3,0,0,17,0.7058823529411765
243,12,2,3,0,0,17,0.7058823529411765
244,11,2,4,1,0,18,0.6111111111111112
245,11,1,3,0,0,15,0.7333333333333333
246,12,2,3,0,0,17,0.7058823529411765
247,12,1,3,1,0,17,0.7058823529411765
248,12,1,3,0,0,16,0.75
249,12,1,3,0,0,16,0.75
250,13,2,4,0,0,19,0.6842105263157895
251,14,2,3,1,0,20,0.7
252,11,1,4,0,0,16,0.6875
253,11,2,3,0,0,16,0.6875
254,12,2,3,0,0,17,0.7058823529411765
255,12,2,3,0,0,17,0.7058823529411765
256,10,1,3,1,0,15,0.6666666666666666
257,13,2,3,1,0,19,0.6842105263157895
258,13,2,3,0,0,18,0.7222222222222222
259,12,2,3,1,0,18,0.6666666666666666
260,14,2,3,1,0,20,0.7
261,12,2,3,0,0,17,0.7058823529411765
262,14,2,3,0,0,19,0.7368421052631579
263,13,1,3,0,0,17,0.7647058823529411
264,14,2,3,0,0,19,0.7368421052631579
265,14,2,3,0,0,19,0.7368421052631579
266,12,0,2,0,0,14,0.8571428571428571
267,14,1,3,0,0,18,0.7777777777777778
268,12,0,3,1,0,16,0.75
269,13,1,3,1,0,18,0.7222222222222222
270,11,2,3,1,0,17,0.6470588235294118
271,12,1,3,0,0,16,0.75
272,13,1,3,0,0,17,0.7647058823529411
273,13,2,3,0,0,18,0.7222222222222222
274,12,1,3,0,0,16,0.75
275,13,1,3,0,0,17,0.7647058823529411
276,13,0,3,0,0,16,0.8125
277,12,0,3,0,0,15,0.8
278,11,1,3,0,0,15,0.7333333333333333
279,12,1,3,1,0,17,0.7058823529411765
280,12,1,3,0,0,16,0.75
281,13,1,3,0,0,17,0.7647058823529411
282,13,1,3,1,0,18,0.7222222222222222
283,12,2,3,1,0,18,0.6666666666666666
284,14,2,3,1,0,20,0.7
285,13,1,3,1,0,18,0.7222222222222222
286,12,1,3,1,0,17,0.7058823529411765
287,12,1,3,1,0,17,0.7058823529411765
288,13,2,3,2,0,20,0.65
289,12,2,3,1,0,18,0.6666666666666666
290,13,2,3,0,0,18,0.7222222222222222
291,14,3,3,0,0,20,0.7
292,13,2,3,0,0,18,0.7222222222222222
293,14,2,3,1,0,20,0.7
294,13,1,3,2,0,19,0.6842105263157895
295,14,2,3,1,0,20,0.7
296,14,1,3,0,0,18,0.7777777777777778
297,14,0,3,0,0,17,0.8235294117647058
298,14,1,3,1,0,19,0.7368421052631579
299,13,1,3,0,0,17,0.7647058823529411
300,13,1,4,0,0,18,0.7222222222222222
301,11,1,3,0,0,15,0.7333333333333333
302,12,1,4,0,0,17,0.7058823529411765
303,12,1,3,0,0,16,0.75
304,13,1,3,0,0,17,0.7647058823529411
305,13,2,4,0,0,19,0.6842105263157895
306,12,1,3,1,0,17,0.7058823529411765
307,12,0,3,0,0,15,0.8
308,12,1,3,0,0,16,0.75
309,13,1,3,0,0,17,0.7647058823529411
310,11,2,3,0,0,16,0.6875
311,12,2,3,0,0,17,0.7058823529411765
312,12,2,3,0,0,17,0.7058823529411765
313,12,2,4,0,0,18,0.6666666666666666
314,12,2,3,0,0,17,0.7058823529411765
315,11,1,3,1,0,16,0.6875
316,12,0,3,1,0,16,0.75
317,11,2,3,0,0,16,0.6875
318,13,2,4,0,0,19,0.6842105263157895
319,13,1,3,0,0,17,0.7647058823529411
320,12,1,3,0,0,16,0.75
321,13,3,3,0,0,19,0.6842105263157895
