frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,11,3,3,0,0,17,0.6470588235294118
1,11,3,3,0,0,17,0.6470588235294118
2,11,3,3,0,0,17,0.6470588235294118
3,10,3,3,0,0,16,0.625
4,10,3,3,0,0,16,0.625
5,11,3,3,0,0,17,0.6470588235294118
6,12,3,3,0,0,18,0.6666666666666666
7,11,3,3,0,0,17,0.6470588235294118
8,11,3,3,0,0,17,0.6470588235294118
9,10,3,3,0,0,16,0.625
10,11,3,3,0,0,17,0.6470588235294118
11,12,3,3,0,0,18,0.6666666666666666
12,11,3,3,0,0,17,0.6470588235294118
13,9,3,3,0,0,15,0.6
14,13,3,3,0,0,19,0.6842105263157895
15,8,3,3,0,0,14,0.5714285714285714
16,11,3,2,0,0,16,0.6875
17,11,3,3,0,0,17,0.6470588235294118
18,9,3,3,0,0,15,0.6
19,11,3,3,0,0,17,0.6470588235294118
20,11,3,3,0,0,17,0.6470588235294118
21,10,3,3,0,0,16,0.625
22,11,3,3,0,0,17,0.6470588235294118
23,11,3,3,0,0,17,0.6470588235294118
24,10,3,2,0,0,15,0.6666666666666666
25,11,3,3,0,0,17,0.6470588235294118
26,10,3,3,0,0,16,0.625
27,12,3,3,0,0,18,0.6666666666666666
28,12,3,3,0,0,18,0.6666666666666666
29,10,3,3,0,0,16,0.625
30,12,3,3,0,0,18,0.6666666666666666
31,12,3,3,0,0,18,0.6666666666666666
32,11,3,3,0,0,17,0.6470588235294118
33,11,3,3,0,0,17,0.6470588235294118
34,10,3,3,0,0,16,0.625
35,10,3,3,0,0,16,0.625
36,11,3,3,0,0,17,0.6470588235294118
37,10,3,3,0,0,16,0.625
38,10,3,3,0,0,16,0.625
39,11,3,3,0,0,17,0.6470588235294118
40,9,3,3,0,0,15,0.6
41,8,3,3,0,0,14,0.5714285714285714
42,11,3,3,0,0,17,0.6470588235294118
43,12,3,2,0,0,17,0.7058823529411765
44,10,3,2,0,0,15,0.6666666666666666
45,10,3,2,0,0,15,0.6666666666666666
46,11,4,3,0,0,18,0.6111111111111112
47,8,3,3,0,0,14,0.5714285714285714
48,10,3,3,0,0,16,0.625
49,10,3,3,0,0,16,0.625
50,11,3,3,0,0,17,0.6470588235294118
51,10,3,3,0,0,16,0.625
52,11,3,3,0,0,17,0.6470588235294118
53,11,3,3,0,0,17,0.6470588235294118
54,10,3,2,0,0,15,0.6666666666666666
55,11,3,3,0,0,17,0.6470588235294118
56,11,3,3,0,0,17,0.6470588235294118
