frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,12,1,2,0,0,15,0.8
1,13,0,2,0,0,15,0.8666666666666667
2,14,1,2,0,0,17,0.8235294117647058
3,14,1,2,0,0,17,0.8235294117647058
4,13,1,2,0,0,16,0.8125
5,13,1,2,0,0,16,0.8125
6,15,0,1,0,0,16,0.9375
7,12,1,2,0,0,15,0.8
8,14,1,2,0,0,17,0.8235294117647058
9,13,1,2,0,0,16,0.8125
10,14,0,2,0,0,16,0.875
11,13,1,2,0,0,16,0.8125
12,13,1,2,0,0,16,0.8125
13,14,1,2,0,0,17,0.8235294117647058
14,14,1,2,0,0,17,0.8235294117647058
15,15,1,2,0,0,18,0.8333333333333334
16,14,1,2,0,0,17,0.8235294117647058
17,13,1,2,0,0,16,0.8125
18,13,1,2,0,0,16,0.8125
19,14,1,2,0,0,17,0.8235294117647058
20,14,1,2,0,0,17,0.8235294117647058
21,15,1,2,0,0,18,0.8333333333333334
22,14,1,2,0,0,17,0.8235294117647058
23,13,1,2,0,0,16,0.8125
24,12,1,2,0,0,15,0.8
25,14,0,2,0,0,16,0.875
26,14,1,2,0,0,17,0.8235294117647058
27,14,1,2,0,0,17,0.8235294117647058
28,15,1,2,0,0,18,0.8333333333333334
29,13,1,2,0,0,16,0.8125
30,13,1,2,0,0,16,0.8125
31,14,0,2,0,0,16,0.875
32,13,1,2,0,0,16,0.8125
33,14,1,2,0,0,17,0.8235294117647058
34,14,1,2,0,0,17,0.8235294117647058
35,14,1,2,0,0,17,0.8235294117647058
36,14,1,2,0,0,17,0.8235294117647058
37,12,0,2,0,0,14,0.8571428571428571
38,13,1,2,0,0,16,0.8125
39,13,1,2,0,0,16,0.8125
40,14,1,2,0,0,17,0.8235294117647058
41,14,1,2,0,0,17,0.8235294117647058
42,13,1,2,0,0,16,0.8125
43,13,1,1,0,0,15,0.8666666666666667
44,12,1,2,0,0,15,0.8
45,14,1,2,0,0,17,0.8235294117647058
46,13,0,2,0,0,15,0.8666666666666667
47,12,0,2,0,0,14,0.8571428571428571
48,13,0,2,0,0,15,0.8666666666666667
49,13,1,2,0,0,16,0.8125
50,13,1,2,0,0,16,0.8125
51,14,1,2,0,0,17,0.8235294117647058
52,13,0,2,0,0,15,0.8666666666666667
53,13,1,2,0,0,16,0.8125
54,13,1,2,0,0,16,0.8125
55,14,1,2,0,0,17,0.8235294117647058
56,14,0,2,0,0,16,0.875
57,15,1,1,0,0,17,0.8823529411764706
58,14,0,2,0,0,16,0.875
59,14,1,2,0,0,17,0.8235294117647058
60,14,1,2,0,0,17,0.8235294117647058
61,13,1,2,0,0,16,0.8125
62,13,1,2,0,0,16,0.8125
63,14,1,2,0,0,17,0.8235294117647058
64,14,1,2,0,0,17,0.8235294117647058
65,14,1,2,0,0,17,0.8235294117647058
66,14,1,2,0,0,17,0.8235294117647058
67,13,1,2,0,0,16,0.8125
68,16,1,2,0,0,19,0.8421052631578947
69,12,1,2,0,0,15,0.8
70,14,1,2,0,0,17,0.8235294117647058
71,14,1,2,0,0,17,0.8235294117647058
72,15,1,2,0,0,18,0.8333333333333334
73,14,1,2,0,0,17,0.8235294117647058
74,14,1,2,0,0,17,0.8235294117647058
75,15,1,2,0,0,18,0.8333333333333334
76,14,1,2,0,0,17,0.8235294117647058
77,13,1,2,0,0,16,0.8125
78,13,1,2,0,0,16,0.8125
79,13,1,2,0,0,16,0.8125
80,15,1,2,0,0,18,0.8333333333333334
81,14,1,2,0,0,17,0.8235294117647058
82,15,1,2,0,0,18,0.8333333333333334
83,14,1,2,0,0,17,0.8235294117647058
84,14,1,2,0,0,17,0.8235294117647058
85,13,1,2,0,0,16,0.8125
86,13,1,2,0,0,16,0.8125
87,13,1,2,0,0,16,0.8125
88,12,1,2,0,0,15,0.8
89,14,0,2,0,0,16,0.875
90,15,1,2,0,0,18,0.8333333333333334
91,14,1,2,0,0,17,0.8235294117647058
92,14,1,2,0,0,17,0.8235294117647058
93,14,1,2,0,0,17,0.8235294117647058
