frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,13,0,2,0,0,15,0.8666666666666667
1,14,0,2,0,0,16,0.875
2,13,0,2,1,0,16,0.8125
3,12,0,2,0,0,14,0.8571428571428571
4,15,0,2,0,0,17,0.8823529411764706
5,13,0,1,1,0,15,0.8666666666666667
6,13,0,1,0,0,14,0.9285714285714286
7,15,0,1,0,0,16,0.9375
8,15,0,1,1,0,17,0.8823529411764706
9,15,0,1,0,0,16,0.9375
10,12,0,1,0,0,13,0.9230769230769231
11,14,0,1,0,0,15,0.9333333333333333
12,15,0,1,1,0,17,0.8823529411764706
13,11,0,3,0,0,14,0.7857142857142857
14,12,0,3,0,0,15,0.8
15,16,0,2,1,0,19,0.8421052631578947
16,10,0,3,1,0,14,0.7142857142857143
17,16,0,3,0,0,19,0.8421052631578947
18,15,0,3,0,0,18,0.8333333333333334
19,14,0,3,0,0,17,0.8235294117647058
20,15,0,3,0,0,18,0.8333333333333334
21,16,0,2,1,0,19,0.8421052631578947
22,16,0,3,1,0,20,0.8
23,15,0,2,1,0,18,0.8333333333333334
24,15,0,2,0,0,17,0.8823529411764706
25,13,0,2,1,0,16,0.8125
26,15,0,2,0,0,17,0.8823529411764706
27,13,0,2,1,0,16,0.8125
28,15,0,1,1,0,17,0.8823529411764706
29,11,0,3,1,0,15,0.7333333333333333
30,14,0,2,0,0,16,0.875
31,14,0,1,1,0,16,0.875
32,16,0,2,0,0,18,0.8888888888888888
33,14,0,1,0,0,15,0.9333333333333333
34,14,0,1,0,0,15,0.9333333333333333
35,15,0,2,0,0,17,0.8823529411764706
36,14,0,1,0,0,15,0.9333333333333333
37,15,0,2,0,0,17,0.8823529411764706
38,13,0,2,0,0,15,0.8666666666666667
39,14,0,1,1,0,16,0.875
40,15,0,1,1,0,17,0.8823529411764706
41,15,0,1,0,0,16,0.9375
42,14,0,1,1,0,16,0.875
43,15,0,1,1,0,17,0.8823529411764706
44,14,0,1,1,0,16,0.875
45,13,0,1,0,0,14,0.9285714285714286
46,15,0,1,0,0,16,0.9375
47,15,0,2,0,0,17,0.8823529411764706
48,15,0,1,0,0,16,0.9375
49,15,0,1,1,0,17,0.8823529411764706
50,15,0,1,0,0,16,0.9375
51,12,0,3,0,0,15,0.8
52,15,0,2,0,0,17,0.8823529411764706
53,14,0,1,0,0,15,0.9333333333333333
54,14,0,2,1,0,17,0.8235294117647058
55,14,0,1,1,0,16,0.875
56,16,0,1,1,0,18,0.8888888888888888
57,14,0,2,0,0,16,0.875
58,16,0,2,0,0,18,0.8888888888888888
59,13,0,2,0,0,15,0.8666666666666667
60,14,0,2,0,0,16,0.875
61,16,0,2,0,0,18,0.8888888888888888
62,14,0,2,1,0,17,0.8235294117647058
63,13,0,1,0,0,14,0.9285714285714286
64,14,0,2,1,0,17,0.8235294117647058
65,15,0,2,0,0,17,0.8823529411764706
66,15,1,2,0,0,18,0.8333333333333334
67,13,0,2,1,0,16,0.8125
68,14,0,2,1,0,17,0.8235294117647058
69,15,0,2,0,0,17,0.8823529411764706
70,15,0,2,0,0,17,0.8823529411764706
71,15,1,2,0,0,18,0.8333333333333334
72,15,0,1,0,0,16,0.9375
73,13,0,1,0,0,14,0.9285714285714286
74,16,0,1,0,0,17,0.9411764705882353
75,14,0,1,0,0,15,0.9333333333333333
76,15,0,2,0,0,17,0.8823529411764706
77,15,0,2,1,0,18,0.8333333333333334
78,13,0,2,1,0,16,0.8125
79,12,0,1,1,0,14,0.8571428571428571
80,15,0,2,1,0,18,0.8333333333333334
81,14,0,2,0,0,16,0.875
82,15,0,2,1,0,18,0.8333333333333334
83,13,0,2,1,0,16,0.8125
84,14,0,1,0,0,15,0.9333333333333333
85,15,0,2,1,0,18,0.8333333333333334
86,14,0,1,0,0,15,0.9333333333333333
87,14,0,1,1,0,16,0.875
88,15,0,1,0,0,16,0.9375
89,12,0,2,0,0,14,0.8571428571428571
90,14,0,1,0,0,15,0.9333333333333333
91,15,0,1,0,0,16,0.9375
92,16,0,2,0,0,18,0.8888888888888888
93,13,0,1,0,0,14,0.9285714285714286
94,15,0,1,1,0,17,0.8823529411764706
95,15,0,3,0,0,18,0.8333333333333334
96,12,0,2,1,0,15,0.8
97,14,0,2,0,0,16,0.875
98,13,0,2,0,0,15,0.8666666666666667
99,14,0,2,0,0,16,0.875
100,16,0,1,0,0,17,0.9411764705882353
101,15,0,2,0,0,17,0.8823529411764706
102,14,0,1,1,0,16,0.875
103,16,0,2,1,0,19,0.8421052631578947
104,14,0,2,0,0,16,0.875
105,14,0,1,1,0,16,0.875
