frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,9,3,2,1,0,15,0.6
1,9,2,2,0,0,13,0.6923076923076923
2,9,3,2,1,0,15,0.6
3,8,3,2,1,0,14,0.5714285714285714
4,9,3,2,1,0,15,0.6
5,8,3,2,1,0,14,0.5714285714285714
6,9,3,2,1,0,15,0.6
7,9,3,2,1,0,15,0.6
8,8,3,2,1,0,14,0.5714285714285714
9,9,3,2,1,0,15,0.6
10,8,3,2,1,0,14,0.5714285714285714
11,9,3,2,1,0,15,0.6
12,9,3,2,1,0,15,0.6
13,8,3,2,1,0,14,0.5714285714285714
14,8,3,2,1,0,14,0.5714285714285714
15,8,3,2,1,0,14,0.5714285714285714
16,8,3,2,1,0,14,0.5714285714285714
17,8,2,2,1,0,13,0.6153846153846154
18,9,3,2,1,0,15,0.6
19,8,3,2,1,0,14,0.5714285714285714
20,8,3,2,1,0,14,0.5714285714285714
21,7,3,2,1,0,13,0.5384615384615384
22,8,3,2,1,0,14,0.5714285714285714
23,8,3,2,2,0,15,0.5333333333333333
24,9,3,2,1,0,15,0.6
25,9,3,2,1,0,15,0.6
26,8,3,2,1,0,14,0.5714285714285714
27,9,3,2,2,0,16,0.5625
28,8,3,2,1,0,14,0.5714285714285714
29,9,3,2,1,0,15,0.6
30,8,2,2,1,0,13,0.6153846153846154
31,9,2,2,1,0,14,0.6428571428571429
32,8,3,2,1,0,14,0.5714285714285714
33,9,3,2,1,0,15,0.6
34,9,3,2,1,0,15,0.6
35,8,3,2,1,0,14,0.5714285714285714
36,8,3,2,1,0,14,0.5714285714285714
37,9,3,2,1,0,15,0.6
38,9,3,2,1,0,15,0.6
39,9,3,2,1,0,15,0.6
40,9,3,2,1,0,15,0.6
41,8,3,2,1,0,14,0.5714285714285714
42,9,3,2,1,0,15,0.6
43,8,3,2,0,0,13,0.6153846153846154
44,9,2,2,1,0,14,0.6428571428571429
45,8,3,2,2,0,15,0.5333333333333333
46,9,3,2,1,0,15,0.6
47,8,3,2,2,0,15,0.5333333333333333
48,9,2,2,1,0,14,0.6428571428571429
49,9,3,2,1,0,15,0.6
50,9,2,2,1,0,14,0.6428571428571429
51,8,3,2,0,0,13,0.6153846153846154
52,8,2,2,1,0,13,0.6153846153846154
53,9,2,2,2,0,15,0.6
54,8,2,2,1,0,13,0.6153846153846154
55,8,3,2,2,0,15,0.5333333333333333
56,9,2,2,1,0,14,0.6428571428571429
57,9,3,2,1,0,15,0.6
58,9,3,2,0,0,14,0.6428571428571429
59,9,3,2,1,0,15,0.6
60,9,3,2,2,0,16,0.5625
61,9,3,2,1,0,15,0.6
62,9,3,2,2,0,16,0.5625
63,9,2,2,1,0,14,0.6428571428571429
64,9,3,2,1,0,15,0.6
65,9,3,2,1,0,15,0.6
66,9,3,2,1,0,15,0.6
67,9,3,2,1,0,15,0.6
68,10,3,2,1,0,16,0.625
69,9,2,2,1,0,14,0.6428571428571429
70,9,2,2,1,0,14,0.6428571428571429
71,9,3,2,1,0,15,0.6
72,8,3,2,1,0,14,0.5714285714285714
73,9,3,2,0,0,14,0.6428571428571429
74,8,3,2,1,0,14,0.5714285714285714
75,8,3,2,1,0,14,0.5714285714285714
76,9,3,2,1,0,15,0.6
77,9,2,2,1,0,14,0.6428571428571429
78,10,2,2,2,0,16,0.625
79,9,2,2,2,0,15,0.6
80,9,3,2,1,0,15,0.6
81,9,3,2,1,0,15,0.6
82,9,2,2,2,0,15,0.6
83,9,3,2,2,0,16,0.5625
84,9,3,2,0,0,14,0.6428571428571429
85,9,3,2,1,0,15,0.6
86,9,2,2,1,0,14,0.6428571428571429
87,9,2,2,1,0,14,0.6428571428571429
88,9,2,2,1,0,14,0.6428571428571429
89,9,2,2,1,0,14,0.6428571428571429
90,8,3,2,2,0,15,0.5333333333333333
91,9,2,2,2,0,15,0.6
92,9,2,2,2,0,15,0.6
93,8,3,2,1,0,14,0.5714285714285714
94,9,2,2,2,0,15,0.6
95,9,3,2,2,0,16,0.5625
96,8,3,2,2,0,15,0.5333333333333333
97,9,3,2,1,0,15,0.6
98,8,3,2,0,0,13,0.6153846153846154
99,9,3,2,1,0,15,0.6
100,8,3,2,0,0,13,0.6153846153846154
101,9,2,2,1,0,14,0.6428571428571429
102,9,3,2,2,0,16,0.5625
103,9,3,2,1,0,15,0.6
104,9,2,2,0,0,13,0.6923076923076923
105,9,2,2,0,0,13,0.6923076923076923
106,9,3,2,1,0,15,0.6
107,9,3,2,1,0,15,0.6
108,9,2,2,1,0,14,0.6428571428571429
109,9,2,2,1,0,14,0.6428571428571429
110,9,2,2,1,0,14,0.6428571428571429
111,8,2,2,0,0,12,0.6666666666666666
112,9,3,2,2,0,16,0.5625
113,9,3,2,1,0,15,0.6
114,9,3,2,1,0,15,0.6
115,9,2,2,1,0,14,0.6428571428571429
116,9,3,2,1,0,15,0.6
117,9,3,2,0,0,14,0.6428571428571429
118,8,3,2,1,0,14,0.5714285714285714
119,9,3,2,1,0,15,0.6
