frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,9,2,1,0,0,12,0.75
1,8,3,1,0,0,12,0.6666666666666666
2,6,2,1,0,0,9,0.6666666666666666
3,8,3,1,0,0,12,0.6666666666666666
4,7,2,0,0,0,9,0.7777777777777778
5,9,3,1,0,0,13,0.6923076923076923
6,9,3,0,0,0,12,0.75
7,9,2,1,0,0,12,0.75
8,8,2,1,0,0,11,0.7272727272727273
9,9,2,0,0,0,11,0.8181818181818182
10,10,2,0,0,0,12,0.8333333333333334
11,10,2,1,0,0,13,0.7692307692307693
12,10,2,1,0,0,13,0.7692307692307693
13,10,2,1,0,0,13,0.7692307692307693
14,8,2,1,0,0,11,0.7272727272727273
15,10,2,1,0,0,13,0.7692307692307693
16,9,2,1,0,0,12,0.75
17,8,2,1,0,0,11,0.7272727272727273
18,10,2,1,0,0,13,0.7692307692307693
19,9,2,1,0,0,12,0.75
20,6,2,1,0,0,9,0.6666666666666666
21,10,2,1,0,0,13,0.7692307692307693
22,7,2,1,0,0,10,0.7
23,8,2,1,0,0,11,0.7272727272727273
24,10,2,1,0,0,13,0.7692307692307693
25,9,2,1,0,0,12,0.75
26,10,2,1,0,0,13,0.7692307692307693
27,9,2,1,0,0,12,0.75
28,11,3,1,0,0,15,0.7333333333333333
29,10,3,1,0,0,14,0.7142857142857143
30,10,2,1,0,0,13,0.7692307692307693
31,12,3,1,0,0,16,0.75
32,12,3,1,0,0,16,0.75
33,11,3,1,0,0,15,0.7333333333333333
34,11,3,1,0,0,15,0.7333333333333333
35,11,3,0,0,0,14,0.7857142857142857
36,11,3,0,0,0,14,0.7857142857142857
37,10,3,0,0,0,13,0.7692307692307693
38,11,2,0,0,0,13,0.8461538461538461
39,11,2,1,0,0,14,0.7857142857142857
40,11,3,1,0,0,15,0.7333333333333333
41,9,3,0,0,0,12,0.75
42,10,3,1,0,0,14,0.7142857142857143
43,10,3,1,0,0,14,0.7142857142857143
44,10,3,0,0,0,13,0.7692307692307693
45,11,2,0,0,0,13,0.8461538461538461
46,9,3,1,0,0,13,0.6923076923076923
47,11,3,1,0,0,15,0.7333333333333333
48,10,2,1,0,0,13,0.7692307692307693
49,9,2,1,0,0,12,0.75
50,9,3,1,0,0,13,0.6923076923076923
51,11,2,1,0,0,14,0.7857142857142857
52,10,2,1,0,0,13,0.7692307692307693
53,12,2,1,0,0,15,0.8
54,10,3,1,0,0,14,0.7142857142857143
55,10,3,1,0,0,14,0.7142857142857143
56,7,2,1,0,0,10,0.7
57,10,1,1,0,0,12,0.8333333333333334
58,7,3,1,0,0,11,0.6363636363636364
59,10,2,1,0,0,13,0.7692307692307693
60,9,3,1,0,0,13,0.6923076923076923
61,9,2,0,0,0,11,0.8181818181818182
62,10,1,0,0,0,11,0.9090909090909091
63,10,2,1,0,0,13,0.7692307692307693
64,11,3,1,0,0,15,0.7333333333333333
65,9,2,1,0,0,12,0.75
66,11,3,1,0,0,15,0.7333333333333333
67,9,2,1,0,0,12,0.75
68,11,2,1,0,0,14,0.7857142857142857
69,9,3,1,0,0,13,0.6923076923076923
70,9,2,1,0,0,12,0.75
71,9,3,1,0,0,13,0.6923076923076923
72,12,3,1,0,0,16,0.75
73,11,2,1,0,0,14,0.7857142857142857
74,8,2,1,0,0,11,0.7272727272727273
75,11,2,1,0,0,14,0.7857142857142857
76,11,2,1,0,0,14,0.7857142857142857
77,11,2,1,0,0,14,0.7857142857142857
78,9,2,1,0,0,12,0.75
79,9,2,1,0,0,12,0.75
