frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,12,2,2,0,0,16,0.75
1,14,2,2,0,0,18,0.7777777777777778
2,12,1,2,0,0,15,0.8
3,12,3,2,0,0,17,0.7058823529411765
4,12,2,2,0,0,16,0.75
5,12,1,2,0,0,15,0.8
6,14,2,3,0,0,19,0.7368421052631579
7,13,2,2,0,0,17,0.7647058823529411
8,11,2,2,0,0,15,0.7333333333333333
9,13,2,2,0,0,17,0.7647058823529411
10,13,2,2,0,0,17,0.7647058823529411
11,12,1,2,0,0,15,0.8
12,12,2,2,0,0,16,0.75
13,13,2,2,0,0,17,0.7647058823529411
14,12,2,2,0,0,16,0.75
15,13,2,2,0,0,17,0.7647058823529411
16,12,2,2,0,0,16,0.75
17,12,2,2,0,0,16,0.75
18,14,2,2,0,0,18,0.7777777777777778
19,14,2,2,0,0,18,0.7777777777777778
20,12,2,2,0,0,16,0.75
21,14,2,3,0,0,19,0.7368421052631579
22,14,3,2,0,0,19,0.7368421052631579
23,14,2,2,0,0,18,0.7777777777777778
24,13,2,2,0,0,17,0.7647058823529411
25,13,2,2,0,0,17,0.7647058823529411
26,13,2,3,0,0,18,0.7222222222222222
27,13,2,3,0,0,18,0.7222222222222222
28,13,3,2,0,0,18,0.7222222222222222
29,12,2,2,0,0,16,0.75
30,12,2,2,0,0,16,0.75
31,11,2,2,0,0,15,0.7333333333333333
32,14,2,2,0,0,18,0.7777777777777778
33,13,2,2,0,0,17,0.7647058823529411
34,14,3,2,0,0,19,0.7368421052631579
35,16,2,2,0,0,20,0.8
36,10,2,2,0,0,14,0.7142857142857143
37,14,2,3,0,0,19,0.7368421052631579
38,13,2,2,0,0,17,0.7647058823529411
39,12,3,2,0,0,17,0.7058823529411765
40,13,4,2,0,0,19,0.6842105263157895
41,13,3,2,0,0,18,0.7222222222222222
42,13,2,2,0,0,17,0.7647058823529411
43,15,2,2,0,0,19,0.7894736842105263
44,15,2,3,0,0,20,0.75
45,12,2,2,0,0,16,0.75
46,13,2,2,0,0,17,0.7647058823529411
47,15,2,2,0,0,19,0.7894736842105263
48,13,2,3,0,0,18,0.7222222222222222
49,15,2,2,0,0,19,0.7894736842105263
50,13,2,2,0,0,17,0.7647058823529411
51,15,2,2,0,0,19,0.7894736842105263
52,13,2,2,0,0,17,0.7647058823529411
53,13,2,2,0,0,17,0.7647058823529411
54,13,2,2,0,0,17,0.7647058823529411
55,14,2,2,0,0,18,0.7777777777777778
56,13,3,3,0,0,19,0.6842105263157895
57,13,1,2,0,0,16,0.8125
58,14,2,2,0,0,18,0.7777777777777778
59,13,2,2,0,0,17,0.7647058823529411
60,12,2,2,0,0,16,0.75
61,11,2,2,0,0,15,0.7333333333333333
62,12,2,2,0,0,16,0.75
63,13,2,2,0,0,17,0.7647058823529411
64,11,2,2,0,0,15,0.7333333333333333
65,11,3,2,0,0,16,0.6875
66,12,2,2,0,0,16,0.75
67,14,2,2,0,0,18,0.7777777777777778
68,14,1,2,0,0,17,0.8235294117647058
69,12,2,2,0,0,16,0.75
70,14,3,2,0,0,19,0.7368421052631579
71,12,2,2,0,0,16,0.75
72,11,4,2,0,0,17,0.6470588235294118
73,13,2,2,0,0,17,0.7647058823529411
74,12,2,2,0,0,16,0.75
75,15,2,2,0,0,19,0.7894736842105263
76,13,2,2,0,0,17,0.7647058823529411
77,10,2,2,0,0,14,0.7142857142857143
78,11,2,2,0,0,15,0.7333333333333333
79,13,3,3,0,0,19,0.6842105263157895
80,13,2,2,0,0,17,0.7647058823529411
81,13,2,2,0,0,17,0.7647058823529411
82,12,1,2,0,0,15,0.8
83,12,2,2,0,0,16,0.75
84,14,1,1,0,0,16,0.875
85,12,3,2,0,0,17,0.7058823529411765
86,13,2,2,0,0,17,0.7647058823529411
87,12,2,2,0,0,16,0.75
88,14,2,2,0,0,18,0.7777777777777778
89,13,2,2,0,0,17,0.7647058823529411
90,12,2,2,0,0,16,0.75
91,12,2,2,0,0,16,0.75
92,13,2,2,0,0,17,0.7647058823529411
93,11,1,2,0,0,14,0.7857142857142857
94,10,3,2,0,0,15,0.6666666666666666
95,16,1,2,0,0,19,0.8421052631578947
96,13,2,2,0,0,17,0.7647058823529411
97,13,2,2,0,0,17,0.7647058823529411
98,14,2,2,0,0,18,0.7777777777777778
99,12,1,2,0,0,15,0.8
