frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,10,1,2,0,0,13,0.7692307692307693
1,11,1,1,0,0,13,0.8461538461538461
2,12,1,1,0,0,14,0.8571428571428571
3,9,1,2,0,0,12,0.75
4,11,1,1,0,0,13,0.8461538461538461
5,9,1,2,0,0,12,0.75
6,11,1,2,0,0,14,0.7857142857142857
7,12,1,2,0,0,15,0.8
8,11,1,1,0,0,13,0.8461538461538461
9,9,1,2,0,0,12,0.75
10,11,1,1,0,0,13,0.8461538461538461
11,12,1,2,0,0,15,0.8
12,9,1,1,0,0,11,0.8181818181818182
13,10,1,1,0,0,12,0.8333333333333334
14,9,1,1,0,0,11,0.8181818181818182
15,8,1,1,0,0,10,0.8
16,11,1,1,0,0,13,0.8461538461538461
17,11,1,2,0,0,14,0.7857142857142857
18,11,1,1,0,0,13,0.8461538461538461
19,9,1,2,0,0,12,0.75
20,12,1,2,0,0,15,0.8
21,10,1,2,0,0,13,0.7692307692307693
22,11,1,2,0,0,14,0.7857142857142857
23,8,1,2,0,0,11,0.7272727272727273
24,11,1,2,0,0,14,0.7857142857142857
25,10,1,1,0,0,12,0.8333333333333334
26,8,1,2,0,0,11,0.7272727272727273
27,11,1,2,0,0,14,0.7857142857142857
28,11,1,2,0,0,14,0.7857142857142857
29,11,1,2,0,0,14,0.7857142857142857
30,11,1,0,0,0,12,0.9166666666666666
31,11,1,1,0,0,13,0.8461538461538461
32,9,1,0,0,0,10,0.9
33,9,1,1,0,0,11,0.8181818181818182
34,9,1,1,0,0,11,0.8181818181818182
35,11,1,1,0,0,13,0.8461538461538461
36,11,1,1,0,0,13,0.8461538461538461
37,11,1,2,0,0,14,0.7857142857142857
38,11,1,1,0,0,13,0.8461538461538461
39,9,1,1,0,0,11,0.8181818181818182
40,9,1,2,0,0,12,0.75
41,9,1,2,0,0,12,0.75
42,10,1,2,0,0,13,0.7692307692307693
43,11,1,2,0,0,14,0.7857142857142857
44,11,1,2,0,0,14,0.7857142857142857
45,11,1,1,0,0,13,0.8461538461538461
46,10,1,1,0,0,12,0.8333333333333334
47,11,0,1,0,0,12,0.9166666666666666
48,10,1,2,0,0,13,0.7692307692307693
49,9,1,2,0,0,12,0.75
50,11,1,2,0,0,14,0.7857142857142857
51,11,1,2,0,0,14,0.7857142857142857
52,11,1,2,0,0,14,0.7857142857142857
53,10,1,1,0,0,12,0.8333333333333334
54,10,1,1,0,0,12,0.8333333333333334
55,10,1,0,0,0,11,0.9090909090909091
56,9,1,1,0,0,11,0.8181818181818182
57,12,1,1,0,0,14,0.8571428571428571
58,11,1,2,0,0,14,0.7857142857142857
59,11,1,2,0,0,14,0.7857142857142857
60,10,1,1,0,0,12,0.8333333333333334
61,11,1,1,0,0,13,0.8461538461538461
62,11,1,0,0,0,12,0.9166666666666666
63,10,1,2,0,0,13,0.7692307692307693
64,11,1,1,0,0,13,0.8461538461538461
65,11,0,2,0,0,13,0.8461538461538461
66,10,1,2,0,0,13,0.7692307692307693
67,11,1,2,0,0,14,0.7857142857142857
68,10,1,2,0,0,13,0.7692307692307693
69,7,0,2,0,0,9,0.7777777777777778
70,9,1,2,0,0,12,0.75
71,10,1,1,0,0,12,0.8333333333333334
72,9,1,2,0,0,12,0.75
73,10,1,1,0,0,12,0.8333333333333334
74,10,1,2,0,0,13,0.7692307692307693
75,11,1,2,0,0,14,0.7857142857142857
76,8,1,2,0,0,11,0.7272727272727273
77,11,0,2,0,0,13,0.8461538461538461
78,10,0,1,0,0,11,0.9090909090909091
79,10,0,2,0,0,12,0.8333333333333334
80,10,1,1,0,0,12,0.8333333333333334
81,10,0,1,0,0,11,0.9090909090909091
82,10,0,2,0,0,12,0.8333333333333334
83,8,1,1,0,0,10,0.8
84,9,1,2,0,0,12,0.75
85,10,1,2,0,0,13,0.7692307692307693
86,11,0,1,0,0,12,0.9166666666666666
87,11,0,2,0,0,13,0.8461538461538461
88,7,0,1,0,0,8,0.875
89,8,0,1,0,0,9,0.8888888888888888
90,10,0,2,0,0,12,0.8333333333333334
91,8,0,1,0,0,9,0.8888888888888888
92,11,0,1,0,0,12,0.9166666666666666
93,11,0,2,0,0,13,0.8461538461538461
94,10,0,2,0,0,12,0.8333333333333334
95,10,1,1,0,0,12,0.8333333333333334
96,10,1,1,0,0,12,0.8333333333333334
97,10,1,1,0,0,12,0.8333333333333334
98,10,1,1,0,0,12,0.8333333333333334
99,12,1,2,0,0,15,0.8
100,10,1,1,0,0,12,0.8333333333333334
101,11,1,1,0,0,13,0.8461538461538461
102,11,1,1,0,0,13,0.8461538461538461
103,10,0,1,0,0,11,0.9090909090909091
104,11,0,1,0,0,12,0.9166666666666666
105,10,0,1,0,0,11,0.9090909090909091
106,11,1,1,0,0,13,0.8461538461538461
107,11,0,2,0,0,13,0.8461538461538461
108,9,1,2,0,0,12,0.75
109,12,1,2,0,0,15,0.8
110,11,1,2,0,0,14,0.7857142857142857
111,12,1,1,0,0,14,0.8571428571428571
112,11,1,1,0,0,13,0.8461538461538461
113,12,1,2,0,0,15,0.8
114,11,1,1,0,0,13,0.8461538461538461
115,11,1,1,0,0,13,0.8461538461538461
116,10,1,1,0,0,12,0.8333333333333334
117,11,1,1,0,0,13,0.8461538461538461
118,10,1,1,0,0,12,0.8333333333333334
119,12,1,2,0,0,15,0.8
120,13,1,2,0,0,16,0.8125
121,11,1,2,0,0,14,0.7857142857142857
122,11,1,1,0,0,13,0.8461538461538461
123,11,1,1,0,0,13,0.8461538461538461
124,11,1,1,0,0,13,0.8461538461538461
125,10,1,2,0,0,13,0.7692307692307693
126,11,1,1,0,0,13,0.8461538461538461
127,11,1,2,0,0,14,0.7857142857142857
128,12,1,1,0,0,14,0.8571428571428571
129,10,1,2,0,0,13,0.7692307692307693
130,11,1,1,0,0,13,0.8461538461538461
131,11,1,2,0,0,14,0.7857142857142857
132,11,1,1,0,0,13,0.8461538461538461
133,11,1,1,0,0,13,0.8461538461538461
134,11,1,1,0,0,13,0.8461538461538461
135,11,1,1,0,0,13,0.8461538461538461
136,11,1,1,0,0,13,0.8461538461538461
137,11,1,1,0,0,13,0.8461538461538461
138,10,1,2,0,0,13,0.7692307692307693
139,11,1,1,0,0,13,0.8461538461538461
140,12,0,1,0,0,13,0.9230769230769231
141,12,1,2,0,0,15,0.8
142,11,1,1,0,0,13,0.8461538461538461
143,11,1,1,0,0,13,0.8461538461538461
144,11,1,1,0,0,13,0.8461538461538461
145,11,1,1,0,0,13,0.8461538461538461
146,11,1,1,0,0,13,0.8461538461538461
147,12,1,2,0,0,15,0.8
148,12,1,2,0,0,15,0.8
149,11,1,1,0,0,13,0.8461538461538461
150,9,1,2,0,0,12,0.75
151,12,1,1,0,0,14,0.8571428571428571
152,10,1,1,0,0,12,0.8333333333333334
153,11,1,2,0,0,14,0.7857142857142857
154,11,1,1,0,0,13,0.8461538461538461
155,12,1,2,0,0,15,0.8
156,11,1,1,0,0,13,0.8461538461538461
157,10,1,2,0,0,13,0.7692307692307693
158,10,1,1,0,0,12,0.8333333333333334
159,12,1,1,0,0,14,0.8571428571428571
160,11,1,2,0,0,14,0.7857142857142857
161,9,1,1,0,0,11,0.8181818181818182
162,10,1,1,0,0,12,0.8333333333333334
163,10,1,1,0,0,12,0.8333333333333334
164,11,1,1,0,0,13,0.8461538461538461
165,11,1,1,0,0,13,0.8461538461538461
166,11,1,2,0,0,14,0.7857142857142857
167,9,1,2,0,0,12,0.75
168,12,1,1,0,0,14,0.8571428571428571
169,11,1,1,0,0,13,0.8461538461538461
170,10,1,1,0,0,12,0.8333333333333334
171,10,1,1,0,0,12,0.8333333333333334
172,11,1,2,0,0,14,0.7857142857142857
173,10,1,1,0,0,12,0.8333333333333334
174,10,1,1,0,0,12,0.8333333333333334
175,12,1,2,0,0,15,0.8
176,11,1,1,0,0,13,0.8461538461538461
177,10,1,1,0,0,12,0.8333333333333334
178,10,1,1,0,0,12,0.8333333333333334
179,9,1,1,0,0,11,0.8181818181818182
180,10,1,1,0,0,12,0.8333333333333334
181,11,0,1,0,0,12,0.9166666666666666
182,10,1,1,0,0,12,0.8333333333333334
183,12,1,1,0,0,14,0.8571428571428571
