frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,16,0,1,0,0,17,0.9411764705882353
1,12,0,1,0,0,13,0.9230769230769231
2,12,0,1,0,0,13,0.9230769230769231
3,12,0,1,0,0,13,0.9230769230769231
4,13,0,1,0,0,14,0.9285714285714286
5,14,0,1,0,0,15,0.9333333333333333
6,11,0,1,0,0,12,0.9166666666666666
7,13,0,1,0,0,14,0.9285714285714286
8,15,0,1,0,0,16,0.9375
9,13,0,1,0,0,14,0.9285714285714286
10,13,0,1,0,0,14,0.9285714285714286
11,15,0,1,0,0,16,0.9375
12,14,0,1,0,0,15,0.9333333333333333
13,11,0,1,0,0,12,0.9166666666666666
14,14,0,1,0,0,15,0.9333333333333333
15,13,0,1,0,0,14,0.9285714285714286
16,12,0,1,0,0,13,0.9230769230769231
17,12,0,1,0,0,13,0.9230769230769231
18,13,0,1,0,0,14,0.9285714285714286
19,13,0,1,0,0,14,0.9285714285714286
20,14,0,1,0,0,15,0.9333333333333333
21,14,0,1,0,0,15,0.9333333333333333
22,13,0,1,0,0,14,0.9285714285714286
23,16,0,1,0,0,17,0.9411764705882353
24,14,0,1,0,0,15,0.9333333333333333
25,13,0,1,0,0,14,0.9285714285714286
26,11,0,1,0,0,12,0.9166666666666666
27,14,0,1,0,0,15,0.9333333333333333
28,13,0,1,0,0,14,0.9285714285714286
29,13,0,2,0,0,15,0.8666666666666667
30,14,0,2,0,0,16,0.875
31,12,0,2,0,0,14,0.8571428571428571
32,12,0,2,0,0,14,0.8571428571428571
33,13,0,2,0,0,15,0.8666666666666667
34,11,0,2,0,0,13,0.8461538461538461
35,12,0,2,0,0,14,0.8571428571428571
36,13,0,2,0,0,15,0.8666666666666667
37,11,0,2,0,0,13,0.8461538461538461
38,13,0,2,0,0,15,0.8666666666666667
39,12,0,2,0,0,14,0.8571428571428571
40,13,0,2,0,0,15,0.8666666666666667
41,13,0,2,0,0,15,0.8666666666666667
42,14,0,2,0,0,16,0.875
43,11,0,2,0,0,13,0.8461538461538461
44,11,0,2,0,0,13,0.8461538461538461
45,14,0,2,0,0,16,0.875
46,11,0,2,0,0,13,0.8461538461538461
47,12,0,2,0,0,14,0.8571428571428571
48,11,0,2,0,0,13,0.8461538461538461
49,13,0,2,0,0,15,0.8666666666666667
50,13,0,2,0,0,15,0.8666666666666667
51,11,0,2,0,0,13,0.8461538461538461
52,12,0,2,0,0,14,0.8571428571428571
53,11,0,2,0,0,13,0.8461538461538461
54,12,0,2,0,0,14,0.8571428571428571
55,11,0,2,0,0,13,0.8461538461538461
56,11,0,2,0,0,13,0.8461538461538461
57,12,0,2,0,0,14,0.8571428571428571
58,8,0,2,0,0,10,0.8
59,14,0,2,0,0,16,0.875
60,12,0,2,0,0,14,0.8571428571428571
61,10,0,2,0,0,12,0.8333333333333334
62,12,0,2,0,0,14,0.8571428571428571
63,11,0,2,0,0,13,0.8461538461538461
64,12,0,2,0,0,14,0.8571428571428571
65,11,0,2,0,0,13,0.8461538461538461
66,11,0,2,0,0,13,0.8461538461538461
67,11,0,2,0,0,13,0.8461538461538461
68,12,0,2,0,0,14,0.8571428571428571
69,13,0,2,0,0,15,0.8666666666666667
70,10,0,2,0,0,12,0.8333333333333334
71,12,0,2,0,0,14,0.8571428571428571
72,12,0,2,0,0,14,0.8571428571428571
73,13,0,2,1,0,16,0.8125
74,14,0,2,1,0,17,0.8235294117647058
75,12,0,2,1,0,15,0.8
76,13,0,1,0,0,14,0.9285714285714286
77,13,0,1,0,0,14,0.9285714285714286
78,14,0,1,0,0,15,0.9333333333333333
79,11,0,1,0,0,12,0.9166666666666666
80,12,0,1,0,0,13,0.9230769230769231
81,15,0,1,0,0,16,0.9375
82,14,0,1,1,0,16,0.875
83,13,0,1,0,0,14,0.9285714285714286
84,14,0,1,0,0,15,0.9333333333333333
85,15,0,1,0,0,16,0.9375
86,14,0,1,0,0,15,0.9333333333333333
87,13,0,1,0,0,14,0.9285714285714286
88,14,0,2,0,0,16,0.875
89,15,0,1,0,0,16,0.9375
90,13,0,1,0,0,14,0.9285714285714286
91,11,0,1,0,0,12,0.9166666666666666
92,15,0,1,0,0,16,0.9375
93,12,0,1,0,0,13,0.9230769230769231
94,15,0,1,0,0,16,0.9375
95,13,0,2,0,0,15,0.8666666666666667
96,13,0,1,0,0,14,0.9285714285714286
97,15,0,1,0,0,16,0.9375
98,14,0,1,0,0,15,0.9333333333333333
99,16,0,1,0,0,17,0.9411764705882353
100,14,0,1,0,0,15,0.9333333333333333
101,11,0,1,0,0,12,0.9166666666666666
102,14,0,2,0,0,16,0.875
103,10,0,1,0,0,11,0.9090909090909091
104,13,0,2,0,0,15,0.8666666666666667
105,12,0,1,0,0,13,0.9230769230769231
106,16,0,0,0,0,16,1.0
107,11,0,1,0,0,12,0.9166666666666666
108,17,0,1,0,0,18,0.9444444444444444
109,14,0,2,0,0,16,0.875
110,16,0,1,0,0,17,0.9411764705882353
111,15,0,1,0,0,16,0.9375
112,12,0,1,0,0,13,0.9230769230769231
113,14,0,2,0,0,16,0.875
114,12,0,1,0,0,13,0.9230769230769231
115,14,0,1,1,0,16,0.875
116,15,0,1,1,0,17,0.8823529411764706
117,12,0,1,0,0,13,0.9230769230769231
118,14,0,1,0,0,15,0.9333333333333333
119,13,0,1,0,0,14,0.9285714285714286
120,14,0,0,0,0,14,1.0
121,13,0,0,0,0,13,1.0
