frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,9,2,1,1,0,13,0.6923076923076923
1,8,2,2,1,0,13,0.6153846153846154
2,11,2,2,1,0,16,0.6875
3,9,2,3,1,0,15,0.6
4,10,2,2,1,0,15,0.6666666666666666
5,11,2,2,1,0,16,0.6875
6,11,1,2,1,0,15,0.7333333333333333
7,12,2,2,1,0,17,0.7058823529411765
8,12,1,2,1,0,16,0.75
9,11,2,3,1,0,17,0.6470588235294118
10,10,2,3,1,0,16,0.625
11,12,2,2,1,0,17,0.7058823529411765
12,11,2,3,1,0,17,0.6470588235294118
13,9,2,3,1,0,15,0.6
14,11,2,1,1,0,15,0.7333333333333333
15,12,2,3,1,0,18,0.6666666666666666
16,10,1,1,1,0,13,0.7692307692307693
17,9,2,2,1,0,14,0.6428571428571429
18,11,2,2,0,0,15,0.7333333333333333
19,12,2,1,1,0,16,0.75
20,11,2,2,1,0,16,0.6875
21,10,2,2,0,0,14,0.7142857142857143
22,13,1,2,0,0,16,0.8125
23,13,1,2,1,0,17,0.7647058823529411
24,15,1,2,1,0,19,0.7894736842105263
25,13,3,2,1,0,19,0.6842105263157895
26,14,1,2,1,0,18,0.7777777777777778
27,15,1,2,1,0,19,0.7894736842105263
28,14,1,2,1,0,18,0.7777777777777778
29,15,2,1,1,0,19,0.7894736842105263
30,13,1,2,1,0,17,0.7647058823529411
31,15,1,2,1,0,19,0.7894736842105263
32,14,1,2,1,0,18,0.7777777777777778
33,12,1,2,1,0,16,0.75
34,13,1,1,1,0,16,0.8125
35,13,1,2,1,0,17,0.7647058823529411
36,14,1,2,1,0,18,0.7777777777777778
37,13,1,2,1,0,17,0.7647058823529411
38,14,1,1,1,0,17,0.8235294117647058
39,13,1,2,1,0,17,0.7647058823529411
40,14,1,1,1,0,17,0.8235294117647058
41,15,1,1,1,0,18,0.8333333333333334
42,13,1,2,1,0,17,0.7647058823529411
43,12,1,2,1,0,16,0.75
44,15,1,1,1,0,18,0.8333333333333334
45,12,1,1,1,0,15,0.8
46,13,2,1,1,0,17,0.7647058823529411
47,13,1,1,1,0,16,0.8125
48,12,1,0,1,0,14,0.8571428571428571
49,12,1,1,1,0,15,0.8
50,16,1,1,1,0,19,0.8421052631578947
51,13,1,1,1,0,16,0.8125
52,14,1,0,1,0,16,0.875
53,16,1,2,1,0,20,0.8
54,14,1,1,1,0,17,0.8235294117647058
55,14,1,0,1,0,16,0.875
56,15,1,0,1,0,17,0.8823529411764706
57,14,3,1,1,0,19,0.7368421052631579
58,14,1,1,1,0,17,0.8235294117647058
59,13,1,2,1,0,17,0.7647058823529411
60,14,1,1,1,0,17,0.8235294117647058
61,14,1,1,1,0,17,0.8235294117647058
62,13,1,1,1,0,16,0.8125
63,15,1,0,1,0,17,0.8823529411764706
64,13,1,1,1,0,16,0.8125
65,12,2,1,0,0,15,0.8
66,13,1,1,1,0,16,0.8125
67,13,2,0,1,0,16,0.8125
68,15,2,0,1,0,18,0.8333333333333334
69,15,2,1,1,0,19,0.7894736842105263
70,12,1,2,1,0,16,0.75
71,15,2,1,1,0,19,0.7894736842105263
72,13,1,1,1,0,16,0.8125
73,13,2,2,1,0,18,0.7222222222222222
74,12,1,1,1,0,15,0.8
75,11,2,1,1,0,15,0.7333333333333333
76,14,1,2,1,0,18,0.7777777777777778
77,12,4,2,0,0,18,0.6666666666666666
78,13,2,1,1,0,17,0.7647058823529411
79,14,1,1,1,0,17,0.8235294117647058
80,13,2,1,1,0,17,0.7647058823529411
81,15,1,2,1,0,19,0.7894736842105263
82,13,2,1,1,0,17,0.7647058823529411
83,14,2,1,0,0,17,0.8235294117647058
84,13,1,2,0,0,16,0.8125
85,12,1,2,1,0,16,0.75
86,15,1,2,1,0,19,0.7894736842105263
87,14,1,2,1,0,18,0.7777777777777778
88,13,1,2,1,0,17,0.7647058823529411
89,11,2,0,1,0,14,0.7857142857142857
