frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,7,1,2,0,0,10,0.7
1,6,1,2,0,0,9,0.6666666666666666
2,7,1,2,0,0,10,0.7
3,5,1,2,0,0,8,0.625
4,5,1,2,0,0,8,0.625
5,7,1,2,0,0,10,0.7
6,5,1,2,0,0,8,0.625
7,4,0,2,0,0,6,0.6666666666666666
8,5,0,2,0,0,7,0.7142857142857143
9,4,0,2,0,0,6,0.6666666666666666
10,6,0,2,0,0,8,0.75
11,5,0,2,0,0,7,0.7142857142857143
12,6,0,2,0,0,8,0.75
13,7,0,2,0,0,9,0.7777777777777778
14,6,0,2,0,0,8,0.75
15,8,0,2,0,0,10,0.8
16,6,0,2,0,0,8,0.75
17,4,3,1,0,0,8,0.5
18,4,3,1,0,0,8,0.5
19,6,0,2,0,0,8,0.75
20,5,2,1,0,0,8,0.625
21,5,3,2,0,0,10,0.5
22,4,1,2,0,0,7,0.5714285714285714
23,6,1,2,0,0,9,0.6666666666666666
24,5,1,1,0,0,7,0.7142857142857143
25,5,4,0,0,0,9,0.5555555555555556
26,4,3,1,0,0,8,0.5
27,4,3,1,0,0,8,0.5
28,5,3,1,0,0,9,0.5555555555555556
29,5,4,1,0,0,10,0.5
30,5,4,2,0,0,11,0.45454545454545453
31,6,3,1,0,0,10,0.6
32,8,1,2,0,0,11,0.7272727272727273
33,5,1,1,0,0,7,0.7142857142857143
34,5,4,1,0,0,10,0.5
35,4,4,1,0,0,9,0.4444444444444444
36,6,2,1,0,0,9,0.6666666666666666
37,5,3,1,0,0,9,0.5555555555555556
38,5,1,2,0,0,8,0.625
39,5,1,2,0,0,8,0.625
40,6,3,2,0,0,11,0.5454545454545454
41,4,3,1,0,0,8,0.5
42,6,1,2,0,0,9,0.6666666666666666
43,7,2,3,0,0,12,0.5833333333333334
44,6,1,1,0,0,8,0.75
45,6,2,1,0,0,9,0.6666666666666666
46,7,2,1,0,0,10,0.7
47,4,3,1,0,0,8,0.5
48,6,2,2,0,0,10,0.6
49,6,2,1,0,0,9,0.6666666666666666
50,5,2,1,0,0,8,0.625
51,4,1,2,0,0,7,0.5714285714285714
52,7,2,1,0,0,10,0.7
53,4,1,1,0,0,6,0.6666666666666666
54,5,1,2,0,0,8,0.625
55,4,2,1,0,0,7,0.5714285714285714
56,4,3,1,0,0,8,0.5
57,6,2,1,0,0,9,0.6666666666666666
58,6,0,1,0,0,7,0.8571428571428571
59,7,1,2,0,0,10,0.7
60,5,0,1,0,0,6,0.8333333333333334
61,4,0,2,0,0,6,0.6666666666666666
62,5,1,2,0,0,8,0.625
63,3,3,1,0,0,7,0.42857142857142855
64,6,0,2,0,0,8,0.75
65,6,2,1,0,0,9,0.6666666666666666
66,7,2,1,0,0,10,0.7
67,7,2,1,0,0,10,0.7
68,7,3,1,0,0,11,0.6363636363636364
69,7,0,2,0,0,9,0.7777777777777778
70,5,0,2,0,0,7,0.7142857142857143
71,6,2,2,0,0,10,0.6
72,5,1,2,0,0,8,0.625
73,6,1,2,0,0,9,0.6666666666666666
74,7,2,2,0,0,11,0.6363636363636364
75,8,2,2,0,0,12,0.6666666666666666
76,5,0,2,0,0,7,0.7142857142857143
77,5,0,1,0,0,6,0.8333333333333334
78,8,0,2,0,0,10,0.8
79,5,0,2,0,0,7,0.7142857142857143
80,7,2,2,0,0,11,0.6363636363636364
81,5,1,2,0,0,8,0.625
82,9,1,2,0,0,12,0.75
83,8,1,2,0,0,11,0.7272727272727273
84,6,3,1,0,0,10,0.6
85,6,2,1,0,0,9,0.6666666666666666
86,6,2,1,0,0,9,0.6666666666666666
87,6,2,1,0,0,9,0.6666666666666666
88,7,2,1,0,0,10,0.7
89,6,3,1,0,0,10,0.6
90,7,1,1,0,0,9,0.7777777777777778
91,5,2,1,0,0,8,0.625
92,4,1,1,0,0,6,0.6666666666666666
93,4,2,1,0,0,7,0.5714285714285714
94,7,2,1,0,0,10,0.7
95,5,1,1,0,0,7,0.7142857142857143
96,6,2,2,0,0,10,0.6
97,6,1,2,0,0,9,0.6666666666666666
98,4,1,1,0,0,6,0.6666666666666666
99,7,1,1,0,0,9,0.7777777777777778
100,5,1,1,0,0,7,0.7142857142857143
101,3,2,1,0,0,6,0.5
102,6,2,1,0,0,9,0.6666666666666666
103,7,1,1,0,0,9,0.7777777777777778
104,5,1,1,0,0,7,0.7142857142857143
105,6,2,1,0,0,9,0.6666666666666666
106,7,2,1,0,0,10,0.7
107,7,2,1,0,0,10,0.7
108,4,1,1,0,0,6,0.6666666666666666
109,7,1,2,0,0,10,0.7
110,6,2,1,0,0,9,0.6666666666666666
111,6,2,2,0,0,10,0.6
112,6,2,2,0,0,10,0.6
113,5,2,1,0,0,8,0.625
114,5,2,1,0,0,8,0.625
115,5,2,1,0,0,8,0.625
116,4,2,2,0,0,8,0.5
117,7,1,2,0,0,10,0.7
118,6,2,1,0,0,9,0.6666666666666666
119,6,2,2,0,0,10,0.6
120,4,1,2,0,0,7,0.5714285714285714
121,5,1,2,0,0,8,0.625
122,6,0,2,0,0,8,0.75
123,5,0,2,0,0,7,0.7142857142857143
124,4,0,2,0,0,6,0.6666666666666666
125,6,3,2,0,0,11,0.5454545454545454
126,7,3,1,0,0,11,0.6363636363636364
127,3,2,1,0,0,6,0.5
128,5,1,2,0,0,8,0.625
129,4,1,2,0,0,7,0.5714285714285714
130,6,3,1,0,0,10,0.6
131,6,0,2,0,0,8,0.75
132,7,1,2,0,0,10,0.7
133,6,1,2,0,0,9,0.6666666666666666
134,7,1,2,0,0,10,0.7
135,5,2,1,0,0,8,0.625
136,7,2,2,0,0,11,0.6363636363636364
