frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,4,4,1,0,0,9,0.4444444444444444
1,4,4,1,0,0,9,0.4444444444444444
2,3,4,1,0,0,8,0.375
3,3,4,1,0,0,8,0.375
4,3,4,1,0,0,8,0.375
5,3,4,1,0,0,8,0.375
6,4,4,1,0,0,9,0.4444444444444444
7,3,4,1,0,0,8,0.375
8,3,4,1,0,0,8,0.375
9,3,4,1,0,0,8,0.375
10,3,4,1,0,0,8,0.375
11,3,4,1,0,0,8,0.375
12,4,4,1,0,0,9,0.4444444444444444
13,3,4,1,0,0,8,0.375
14,4,4,1,0,0,9,0.4444444444444444
15,3,4,1,0,0,8,0.375
16,2,4,1,0,0,7,0.2857142857142857
17,5,3,1,0,0,9,0.5555555555555556
18,4,4,1,0,0,9,0.4444444444444444
19,2,4,1,0,0,7,0.2857142857142857
20,4,4,1,0,0,9,0.4444444444444444
21,2,4,1,0,0,7,0.2857142857142857
22,4,4,1,0,0,9,0.4444444444444444
23,4,4,1,0,0,9,0.4444444444444444
24,3,4,1,0,0,8,0.375
25,3,4,1,0,0,8,0.375
26,2,4,1,0,0,7,0.2857142857142857
27,3,4,1,0,0,8,0.375
28,3,4,1,0,0,8,0.375
29,3,4,1,0,0,8,0.375
30,2,3,1,0,0,6,0.3333333333333333
31,4,4,1,0,0,9,0.4444444444444444
32,1,3,1,0,0,5,0.2
33,3,4,1,0,0,8,0.375
34,3,4,1,0,0,8,0.375
35,2,3,1,0,0,6,0.3333333333333333
36,3,4,1,0,0,8,0.375
37,3,4,0,0,0,7,0.42857142857142855
38,3,4,0,0,0,7,0.42857142857142855
39,1,4,1,0,0,6,0.16666666666666666
40,8,3,0,0,0,11,0.7272727272727273
41,5,4,1,0,0,10,0.5
42,3,4,1,0,0,8,0.375
43,4,4,1,0,0,9,0.4444444444444444
44,4,4,0,0,0,8,0.5
45,3,4,1,0,0,8,0.375
46,3,4,1,0,0,8,0.375
47,3,4,1,0,0,8,0.375
48,4,3,1,0,0,8,0.5
49,5,4,1,0,0,10,0.5
50,5,4,1,0,0,10,0.5
51,5,4,1,0,0,10,0.5
52,4,4,1,0,0,9,0.4444444444444444
53,5,4,1,0,0,10,0.5
54,4,4,1,0,0,9,0.4444444444444444
55,2,4,1,0,0,7,0.2857142857142857
56,3,4,2,0,0,9,0.3333333333333333
57,4,4,1,0,0,9,0.4444444444444444
58,3,4,1,0,0,8,0.375
59,5,4,1,0,0,10,0.5
60,3,4,1,0,0,8,0.375
61,4,4,1,0,0,9,0.4444444444444444
62,4,4,1,0,0,9,0.4444444444444444
63,4,4,1,0,0,9,0.4444444444444444
64,5,4,1,0,0,10,0.5
65,4,4,1,0,0,9,0.4444444444444444
66,3,4,1,0,0,8,0.375
67,4,3,1,0,0,8,0.5
68,4,3,1,0,0,8,0.5
69,5,4,1,0,0,10,0.5
70,3,3,1,0,0,7,0.42857142857142855
71,3,2,1,0,0,6,0.5
72,3,4,1,0,0,8,0.375
73,5,4,1,0,0,10,0.5
74,3,4,1,0,0,8,0.375
75,4,4,1,0,0,9,0.4444444444444444
76,4,3,1,0,0,8,0.5
77,4,4,1,0,0,9,0.4444444444444444
78,4,4,1,0,0,9,0.4444444444444444
79,3,3,1,0,0,7,0.42857142857142855
80,5,4,1,0,0,10,0.5
81,4,4,1,0,0,9,0.4444444444444444
82,4,4,1,0,0,9,0.4444444444444444
83,3,3,1,0,0,7,0.42857142857142855
84,5,4,1,0,0,10,0.5
85,5,4,1,0,0,10,0.5
