frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,6,0,2,1,0,9,0.6666666666666666
1,6,0,2,1,0,9,0.6666666666666666
2,5,0,2,1,0,8,0.625
3,8,0,2,1,0,11,0.7272727272727273
4,6,0,2,1,0,9,0.6666666666666666
5,6,0,1,1,0,8,0.75
6,6,0,2,1,0,9,0.6666666666666666
7,6,0,2,1,0,9,0.6666666666666666
8,8,0,2,1,0,11,0.7272727272727273
9,8,0,2,1,0,11,0.7272727272727273
10,6,0,1,1,0,8,0.75
11,6,0,1,1,0,8,0.75
12,5,0,2,1,0,8,0.625
13,6,0,1,1,0,8,0.75
14,7,0,2,1,0,10,0.7
15,7,0,1,1,0,9,0.7777777777777778
16,7,0,2,1,0,10,0.7
17,6,0,1,1,0,8,0.75
18,6,0,1,1,0,8,0.75
19,8,0,2,1,0,11,0.7272727272727273
20,6,0,2,1,0,9,0.6666666666666666
21,6,0,1,1,0,8,0.75
22,6,0,2,1,0,9,0.6666666666666666
23,7,0,2,1,0,10,0.7
24,5,0,1,1,0,7,0.7142857142857143
25,6,0,2,1,0,9,0.6666666666666666
26,7,0,1,1,0,9,0.7777777777777778
27,6,0,2,1,0,9,0.6666666666666666
28,6,0,1,1,0,8,0.75
29,9,0,1,1,0,11,0.8181818181818182
30,8,0,2,1,0,11,0.7272727272727273
31,7,0,2,1,0,10,0.7
32,7,0,2,1,0,10,0.7
33,6,0,1,1,0,8,0.75
34,8,0,1,1,0,10,0.8
35,6,0,2,1,0,9,0.6666666666666666
36,5,0,2,1,0,8,0.625
37,6,0,2,1,0,9,0.6666666666666666
38,8,0,2,1,0,11,0.7272727272727273
39,7,0,2,1,0,10,0.7
40,8,0,2,1,0,11,0.7272727272727273
41,8,0,2,1,0,11,0.7272727272727273
42,7,0,2,1,0,10,0.7
43,6,0,2,1,0,9,0.6666666666666666
44,7,0,2,1,0,10,0.7
45,6,0,2,1,0,9,0.6666666666666666
46,8,0,2,1,0,11,0.7272727272727273
47,8,0,2,1,0,11,0.7272727272727273
48,7,0,1,1,0,9,0.7777777777777778
49,7,0,1,1,0,9,0.7777777777777778
50,7,0,2,1,0,10,0.7
51,7,0,1,1,0,9,0.7777777777777778
52,6,0,1,1,0,8,0.75
53,7,0,2,1,0,10,0.7
54,7,0,2,1,0,10,0.7
55,6,0,2,1,0,9,0.6666666666666666
56,7,0,2,1,0,10,0.7
57,7,0,2,1,0,10,0.7
58,8,0,2,1,0,11,0.7272727272727273
59,7,0,2,1,0,10,0.7
60,6,0,2,1,0,9,0.6666666666666666
61,7,0,2,1,0,10,0.7
62,7,0,2,1,0,10,0.7
63,5,0,2,1,0,8,0.625
64,7,0,1,1,0,9,0.7777777777777778
65,6,0,2,1,0,9,0.6666666666666666
66,6,0,2,1,0,9,0.6666666666666666
67,6,0,2,1,0,9,0.6666666666666666
68,5,0,2,1,0,8,0.625
69,7,0,2,1,0,10,0.7
70,7,0,2,1,0,10,0.7
71,8,0,2,1,0,11,0.7272727272727273
72,5,0,2,1,0,8,0.625
73,8,0,2,1,0,11,0.7272727272727273
