frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,7,0,1,2,0,10,0.7
1,4,0,1,2,0,7,0.5714285714285714
2,6,0,1,2,0,9,0.6666666666666666
3,4,0,1,2,0,7,0.5714285714285714
4,4,0,1,2,0,7,0.5714285714285714
5,5,0,2,2,0,9,0.5555555555555556
6,5,0,3,2,0,10,0.5
7,5,0,1,1,0,7,0.7142857142857143
8,4,0,1,2,0,7,0.5714285714285714
9,5,0,1,2,0,8,0.625
10,5,0,1,2,0,8,0.625
11,5,0,1,2,0,8,0.625
12,5,0,1,2,0,8,0.625
13,5,0,1,1,0,7,0.7142857142857143
14,5,0,2,1,0,8,0.625
15,5,0,1,2,0,8,0.625
16,5,0,2,1,0,8,0.625
17,7,0,2,1,0,10,0.7
18,5,0,1,2,0,8,0.625
19,6,0,1,2,0,9,0.6666666666666666
20,6,0,1,2,0,9,0.6666666666666666
21,7,0,1,2,0,10,0.7
22,7,0,1,2,0,10,0.7
23,5,0,1,2,0,8,0.625
24,5,0,2,2,0,9,0.5555555555555556
25,6,0,1,2,0,9,0.6666666666666666
26,5,0,2,2,0,9,0.5555555555555556
27,6,0,1,2,0,9,0.6666666666666666
28,7,0,1,2,0,10,0.7
29,5,0,1,2,0,8,0.625
30,4,0,1,2,0,7,0.5714285714285714
31,6,0,1,2,0,9,0.6666666666666666
32,6,0,2,1,0,9,0.6666666666666666
33,7,0,2,1,0,10,0.7
34,4,0,1,2,0,7,0.5714285714285714
35,4,0,2,1,0,7,0.5714285714285714
36,7,0,2,1,0,10,0.7
37,4,0,1,2,0,7,0.5714285714285714
38,5,0,1,2,0,8,0.625
39,6,0,2,1,0,9,0.6666666666666666
40,6,0,1,2,0,9,0.6666666666666666
41,7,0,2,1,0,10,0.7
42,5,0,1,2,0,8,0.625
43,6,0,1,1,0,8,0.75
44,4,0,2,2,0,8,0.5
45,5,0,1,2,0,8,0.625
46,4,0,1,2,0,7,0.5714285714285714
47,4,0,1,2,0,7,0.5714285714285714
48,5,0,2,2,0,9,0.5555555555555556
49,6,0,2,2,0,10,0.6
50,4,0,1,2,0,7,0.5714285714285714
51,7,0,3,2,0,12,0.5833333333333334
52,5,0,2,2,0,9,0.5555555555555556
53,4,0,1,2,0,7,0.5714285714285714
54,6,0,2,2,0,10,0.6
55,4,0,2,2,0,8,0.5
56,6,0,1,2,0,9,0.6666666666666666
57,5,0,1,2,0,8,0.625
58,5,0,1,1,0,7,0.7142857142857143
59,5,0,1,1,0,7,0.7142857142857143
60,5,0,1,1,0,7,0.7142857142857143
61,5,0,1,2,0,8,0.625
62,6,0,1,2,0,9,0.6666666666666666
63,5,0,1,2,0,8,0.625
64,6,0,1,2,0,9,0.6666666666666666
65,5,0,2,2,0,9,0.5555555555555556
66,5,0,2,1,0,8,0.625
67,6,0,1,1,0,8,0.75
68,7,0,1,1,0,9,0.7777777777777778
69,6,0,2,2,0,10,0.6
70,5,0,1,1,0,7,0.7142857142857143
71,5,0,1,1,0,7,0.7142857142857143
72,5,0,2,2,0,9,0.5555555555555556
73,4,0,1,2,0,7,0.5714285714285714
74,5,0,1,2,0,8,0.625
75,5,0,1,2,0,8,0.625
76,5,0,2,2,0,9,0.5555555555555556
77,4,0,2,2,0,8,0.5
78,5,0,1,2,0,8,0.625
79,6,0,1,2,0,9,0.6666666666666666
80,7,0,1,2,0,10,0.7
81,6,0,1,2,0,9,0.6666666666666666
82,5,0,1,2,0,8,0.625
83,6,0,1,2,0,9,0.6666666666666666
84,5,0,2,2,0,9,0.5555555555555556
85,6,0,2,1,0,9,0.6666666666666666
86,4,0,1,2,0,7,0.5714285714285714
87,6,0,1,2,0,9,0.6666666666666666
88,5,0,1,1,0,7,0.7142857142857143
89,5,0,2,1,0,8,0.625
90,4,0,1,2,0,7,0.5714285714285714
91,5,0,1,2,0,8,0.625
92,6,0,2,1,0,9,0.6666666666666666
93,7,0,3,1,0,11,0.6363636363636364
94,5,0,2,1,0,8,0.625
95,6,0,2,1,0,9,0.6666666666666666
96,7,0,3,1,0,11,0.6363636363636364
97,7,0,1,1,0,9,0.7777777777777778
98,7,0,2,1,0,10,0.7
99,6,0,1,2,0,9,0.6666666666666666
100,4,0,2,2,0,8,0.5
101,4,0,1,1,0,6,0.6666666666666666
102,4,0,3,2,0,9,0.4444444444444444
103,4,0,1,2,0,7,0.5714285714285714
104,6,0,2,2,0,10,0.6
105,6,0,2,2,0,10,0.6
106,4,0,1,2,0,7,0.5714285714285714
107,4,0,2,2,0,8,0.5
108,5,0,3,2,0,10,0.5
109,4,0,1,2,0,7,0.5714285714285714
110,4,0,2,2,0,8,0.5
111,3,0,2,2,0,7,0.42857142857142855
112,7,0,1,1,0,9,0.7777777777777778
113,4,0,2,2,0,8,0.5
114,4,0,1,1,0,6,0.6666666666666666
115,5,0,1,2,0,8,0.625
116,4,0,2,1,0,7,0.5714285714285714
117,5,0,2,1,0,8,0.625
118,5,0,1,2,0,8,0.625
119,5,0,2,1,0,8,0.625
120,7,0,1,2,0,10,0.7
121,5,0,1,2,0,8,0.625
122,5,0,2,1,0,8,0.625
123,5,0,1,1,0,7,0.7142857142857143
124,5,0,3,1,0,9,0.5555555555555556
125,6,0,1,2,0,9,0.6666666666666666
126,4,0,1,2,0,7,0.5714285714285714
127,6,0,1,2,0,9,0.6666666666666666
128,5,0,1,2,0,8,0.625
129,6,0,1,2,0,9,0.6666666666666666
130,4,0,1,2,0,7,0.5714285714285714
131,5,0,1,2,0,8,0.625
132,5,0,1,1,0,7,0.7142857142857143
133,5,0,1,2,0,8,0.625
134,7,0,2,2,0,11,0.6363636363636364
135,4,0,1,2,0,7,0.5714285714285714
136,5,0,1,1,0,7,0.7142857142857143
137,6,0,1,1,0,8,0.75
138,5,0,1,2,0,8,0.625
139,5,0,1,1,0,7,0.7142857142857143
140,5,0,1,2,0,8,0.625
141,5,0,1,2,0,8,0.625
142,5,0,1,2,0,8,0.625
143,6,0,2,2,0,10,0.6
144,5,0,1,2,0,8,0.625
145,5,0,1,2,0,8,0.625
146,5,0,1,2,0,8,0.625
147,4,0,1,2,0,7,0.5714285714285714
148,6,0,1,2,0,9,0.6666666666666666
149,4,0,1,2,0,7,0.5714285714285714
150,6,0,1,2,0,9,0.6666666666666666
151,4,0,1,2,0,7,0.5714285714285714
152,4,0,1,2,0,7,0.5714285714285714
153,4,0,1,2,0,7,0.5714285714285714
154,5,0,1,2,0,8,0.625
155,6,0,2,2,0,10,0.6
156,5,0,1,1,0,7,0.7142857142857143
157,6,0,2,2,0,10,0.6
158,5,0,1,2,0,8,0.625
159,6,0,2,2,0,10,0.6
160,4,0,1,2,0,7,0.5714285714285714
161,4,0,2,2,0,8,0.5
162,4,0,2,2,0,8,0.5
163,4,0,2,2,0,8,0.5
164,4,0,2,2,0,8,0.5
165,3,0,1,2,0,6,0.5
166,4,0,2,1,0,7,0.5714285714285714
167,5,0,2,1,0,8,0.625
168,5,0,1,1,0,7,0.7142857142857143
169,7,0,2,1,0,10,0.7
170,5,0,3,1,0,9,0.5555555555555556
171,5,0,2,1,0,8,0.625
172,7,0,3,1,0,11,0.6363636363636364
173,6,0,2,1,0,9,0.6666666666666666
174,5,0,1,1,0,7,0.7142857142857143
175,5,0,2,1,0,8,0.625
176,6,0,1,1,0,8,0.75
177,5,0,2,1,0,8,0.625
178,7,0,2,1,0,10,0.7
179,5,0,2,1,0,8,0.625
180,6,0,1,2,0,9,0.6666666666666666
181,4,0,1,2,0,7,0.5714285714285714
182,5,0,1,2,0,8,0.625
183,4,0,1,1,0,6,0.6666666666666666
184,4,0,1,2,0,7,0.5714285714285714
185,4,0,1,2,0,7,0.5714285714285714
186,5,0,1,2,0,8,0.625
187,5,0,2,2,0,9,0.5555555555555556
188,5,0,1,2,0,8,0.625
189,7,0,2,1,0,10,0.7
190,6,0,1,1,0,8,0.75
191,4,0,1,2,0,7,0.5714285714285714
192,5,0,2,1,0,8,0.625
193,6,0,1,1,0,8,0.75
194,6,0,1,1,0,8,0.75
195,4,0,1,2,0,7,0.5714285714285714
196,3,0,1,2,0,6,0.5
197,6,0,1,2,0,9,0.6666666666666666
198,5,0,1,2,0,8,0.625
199,3,0,1,2,0,6,0.5
200,5,0,1,2,0,8,0.625
201,5,0,2,2,0,9,0.5555555555555556
202,4,0,1,2,0,7,0.5714285714285714
203,5,0,1,2,0,8,0.625
204,4,0,1,2,0,7,0.5714285714285714
205,4,0,1,2,0,7,0.5714285714285714
206,4,0,1,2,0,7,0.5714285714285714
207,5,0,1,2,0,8,0.625
208,5,0,2,2,0,9,0.5555555555555556
209,4,0,1,2,0,7,0.5714285714285714
210,5,0,2,1,0,8,0.625
