frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,6,2,1,0,0,9,0.6666666666666666
1,4,2,1,0,0,7,0.5714285714285714
2,4,2,2,0,0,8,0.5
3,6,2,2,0,0,10,0.6
4,5,2,2,0,0,9,0.5555555555555556
5,5,2,2,0,0,9,0.5555555555555556
6,4,2,1,0,0,7,0.5714285714285714
7,3,2,1,0,0,6,0.5
8,6,2,1,0,0,9,0.6666666666666666
9,4,2,2,0,0,8,0.5
10,6,2,1,0,0,9,0.6666666666666666
11,5,2,2,0,0,9,0.5555555555555556
12,4,2,1,0,0,7,0.5714285714285714
13,3,2,2,0,0,7,0.42857142857142855
14,5,2,1,0,0,8,0.625
15,4,2,2,0,0,8,0.5
16,4,2,1,0,0,7,0.5714285714285714
17,4,2,1,0,0,7,0.5714285714285714
18,3,2,1,0,0,6,0.5
19,4,2,1,0,0,7,0.5714285714285714
20,4,2,1,0,0,7,0.5714285714285714
21,5,2,2,0,0,9,0.5555555555555556
22,6,2,2,0,0,10,0.6
23,3,2,2,0,0,7,0.42857142857142855
24,4,1,2,0,0,7,0.5714285714285714
25,4,2,1,0,0,7,0.5714285714285714
26,4,2,2,0,0,8,0.5
27,4,2,2,0,0,8,0.5
28,4,2,1,0,0,7,0.5714285714285714
29,4,2,2,0,0,8,0.5
30,5,2,2,0,0,9,0.5555555555555556
31,4,2,2,0,0,8,0.5
32,4,2,2,0,0,8,0.5
33,4,2,2,0,0,8,0.5
34,3,2,2,0,0,7,0.42857142857142855
35,4,2,1,0,0,7,0.5714285714285714
36,5,2,2,0,0,9,0.5555555555555556
37,4,2,1,0,0,7,0.5714285714285714
38,7,2,2,0,0,11,0.6363636363636364
39,4,3,2,0,0,9,0.4444444444444444
40,6,2,2,0,0,10,0.6
41,4,2,1,0,0,7,0.5714285714285714
42,5,2,2,0,0,9,0.5555555555555556
43,4,2,2,0,0,8,0.5
44,4,3,3,0,0,10,0.4
45,4,3,3,0,0,10,0.4
46,4,3,2,0,0,9,0.4444444444444444
47,5,2,2,0,0,9,0.5555555555555556
48,4,4,2,0,0,10,0.4
49,5,2,3,0,0,10,0.5
50,4,3,2,0,0,9,0.4444444444444444
51,4,4,2,0,0,10,0.4
52,4,3,2,0,0,9,0.4444444444444444
53,5,3,2,0,0,10,0.5
54,4,3,3,0,0,10,0.4
55,3,3,2,0,0,8,0.375
56,3,2,3,0,0,8,0.375
57,4,2,3,0,0,9,0.4444444444444444
58,4,4,2,0,0,10,0.4
59,4,2,2,0,0,8,0.5
60,4,2,2,0,0,8,0.5
61,4,4,2,0,0,10,0.4
62,4,2,2,0,0,8,0.5
63,5,2,2,0,0,9,0.5555555555555556
64,4,2,2,0,0,8,0.5
65,4,2,2,0,0,8,0.5
66,4,2,2,0,0,8,0.5
67,5,2,2,0,0,9,0.5555555555555556
68,5,2,2,0,0,9,0.5555555555555556
69,5,2,2,0,0,9,0.5555555555555556
70,4,2,2,0,0,8,0.5
71,4,2,2,0,0,8,0.5
72,3,2,3,0,0,8,0.375
73,4,2,2,0,0,8,0.5
74,4,2,3,0,0,9,0.4444444444444444
75,3,2,2,0,0,7,0.42857142857142855
76,4,2,2,0,0,8,0.5
77,5,2,2,0,0,9,0.5555555555555556
78,4,2,3,0,0,9,0.4444444444444444
79,4,2,2,0,0,8,0.5
80,4,2,3,0,0,9,0.4444444444444444
81,3,2,2,0,0,7,0.42857142857142855
82,4,3,2,0,0,9,0.4444444444444444
83,5,3,2,0,0,10,0.5
84,5,2,3,0,0,10,0.5
85,4,2,2,0,0,8,0.5
86,4,3,3,0,0,10,0.4
87,4,3,2,0,0,9,0.4444444444444444
