frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,4,0,1,1,0,6,0.6666666666666666
1,3,1,0,0,0,4,0.75
2,3,2,1,0,0,6,0.5
3,2,1,1,0,0,4,0.5
4,2,1,1,0,0,4,0.5
5,3,1,0,0,0,4,0.75
6,2,1,1,0,0,4,0.5
7,3,1,0,0,0,4,0.75
8,1,1,1,0,0,3,0.3333333333333333
9,2,1,0,0,0,3,0.6666666666666666
10,3,1,1,0,0,5,0.6
11,2,1,1,0,0,4,0.5
12,3,1,1,0,0,5,0.6
13,3,1,1,0,0,5,0.6
14,3,1,1,1,0,6,0.5
15,2,1,1,0,0,4,0.5
16,4,1,1,0,0,6,0.6666666666666666
17,2,1,1,0,0,4,0.5
18,2,1,1,1,0,5,0.4
19,2,1,1,0,0,4,0.5
20,2,1,1,0,0,4,0.5
21,4,1,1,1,0,7,0.5714285714285714
22,2,1,1,0,0,4,0.5
23,3,0,1,0,0,4,0.75
24,5,1,1,0,0,7,0.7142857142857143
25,5,2,1,1,0,9,0.5555555555555556
26,4,2,1,0,0,7,0.5714285714285714
27,5,2,1,0,0,8,0.625
28,4,1,1,0,0,6,0.6666666666666666
29,3,2,0,0,0,5,0.6
30,5,2,1,0,0,8,0.625
31,5,2,1,0,0,8,0.625
32,4,2,1,1,0,8,0.5
33,3,2,1,1,0,7,0.42857142857142855
34,4,2,1,0,0,7,0.5714285714285714
35,5,2,1,0,0,8,0.625
36,5,2,1,0,0,8,0.625
37,5,2,1,1,0,9,0.5555555555555556
38,5,1,1,1,0,8,0.625
39,1,2,1,0,0,4,0.25
40,4,1,1,0,0,6,0.6666666666666666
41,5,2,1,0,0,8,0.625
42,5,1,1,0,0,7,0.7142857142857143
43,5,2,1,0,0,8,0.625
44,3,2,1,0,0,6,0.5
45,2,2,1,0,0,5,0.4
46,4,1,1,1,0,7,0.5714285714285714
47,2,1,1,0,0,4,0.5
48,4,2,1,0,0,7,0.5714285714285714
49,3,2,1,0,0,6,0.5
50,5,2,1,1,0,9,0.5555555555555556
51,5,2,1,0,0,8,0.625
52,4,2,1,1,0,8,0.5
53,4,1,1,0,0,6,0.6666666666666666
54,2,2,1,0,0,5,0.4
55,4,2,1,1,0,8,0.5
56,4,1,1,1,0,7,0.5714285714285714
57,5,2,1,1,0,9,0.5555555555555556
58,2,2,0,0,0,4,0.5
59,3,2,1,0,0,6,0.5
60,4,2,1,0,0,7,0.5714285714285714
61,5,0,1,0,0,6,0.8333333333333334
62,6,1,1,1,0,9,0.6666666666666666
63,5,1,1,1,0,8,0.625
64,5,2,1,0,0,8,0.625
65,4,2,1,0,0,7,0.5714285714285714
66,4,1,1,0,0,6,0.6666666666666666
67,4,0,1,0,0,5,0.8
68,4,1,1,0,0,6,0.6666666666666666
69,3,1,1,0,0,5,0.6
70,3,2,1,0,0,6,0.5
71,4,2,0,0,0,6,0.6666666666666666
72,4,2,1,0,0,7,0.5714285714285714
73,4,2,1,1,0,8,0.5
74,2,0,1,0,0,3,0.6666666666666666
75,3,2,1,0,0,6,0.5
76,4,1,0,0,0,5,0.8
77,5,2,1,0,0,8,0.625
78,5,2,1,0,0,8,0.625
79,4,1,1,0,0,6,0.6666666666666666
80,4,1,1,1,0,7,0.5714285714285714
81,4,2,0,0,0,6,0.6666666666666666
82,2,1,1,0,0,4,0.5
83,3,1,0,0,0,4,0.75
84,4,1,0,0,0,5,0.8
85,4,1,1,0,0,6,0.6666666666666666
86,2,1,1,0,0,4,0.5
87,3,1,1,1,0,6,0.5
88,5,2,1,0,0,8,0.625
89,2,1,0,0,0,3,0.6666666666666666
90,3,2,0,0,0,5,0.6
91,3,1,0,0,0,4,0.75
92,3,1,1,0,0,5,0.6
93,4,1,1,0,0,6,0.6666666666666666
94,2,1,1,0,0,4,0.5
95,3,1,0,0,0,4,0.75
96,4,1,1,0,0,6,0.6666666666666666
97,5,2,1,1,0,9,0.5555555555555556
98,3,1,1,1,0,6,0.5
99,4,0,1,0,0,5,0.8
100,2,1,0,0,0,3,0.6666666666666666
101,2,1,1,1,0,5,0.4
102,3,1,1,0,0,5,0.6
103,2,1,1,0,0,4,0.5
104,2,2,1,0,0,5,0.4
105,2,1,1,0,0,4,0.5
106,4,1,0,0,0,5,0.8
107,2,2,1,0,0,5,0.4
108,2,2,1,0,0,5,0.4
109,2,1,1,0,0,4,0.5
110,2,1,1,0,0,4,0.5
111,3,1,1,0,0,5,0.6
112,3,2,1,0,0,6,0.5
113,1,2,1,0,0,4,0.25
114,3,2,1,0,0,6,0.5
115,3,2,1,0,0,6,0.5
116,3,2,0,0,0,5,0.6
117,5,2,1,0,0,8,0.625
118,4,1,0,0,0,5,0.8
119,3,2,0,0,0,5,0.6
120,2,2,1,0,0,5,0.4
121,3,2,1,0,0,6,0.5
122,1,2,0,0,0,3,0.3333333333333333
123,2,2,0,0,0,4,0.5
124,3,2,0,0,0,5,0.6
125,3,2,0,0,0,5,0.6
126,4,2,0,0,0,6,0.6666666666666666
127,3,2,0,0,0,5,0.6
128,2,2,1,0,0,5,0.4
129,3,2,1,0,0,6,0.5
130,3,2,1,0,0,6,0.5
131,3,2,1,0,0,6,0.5
132,3,2,1,0,0,6,0.5
133,2,2,1,0,0,5,0.4
134,3,2,1,0,0,6,0.5
135,3,2,1,0,0,6,0.5
136,3,1,1,0,0,5,0.6
137,4,0,1,1,0,6,0.6666666666666666
138,4,1,1,1,0,7,0.5714285714285714
139,4,1,1,0,0,6,0.6666666666666666
140,4,0,1,0,0,5,0.8
141,4,1,1,0,0,6,0.6666666666666666
142,5,2,1,1,0,9,0.5555555555555556
143,3,2,1,1,0,7,0.42857142857142855
