frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,6,1,2,0,0,9,0.6666666666666666
1,8,1,2,0,0,11,0.7272727272727273
2,8,1,1,0,0,10,0.8
3,8,1,2,0,0,11,0.7272727272727273
4,8,1,1,0,0,10,0.8
5,8,1,1,0,0,10,0.8
6,8,1,1,0,0,10,0.8
7,7,1,1,0,0,9,0.7777777777777778
8,8,1,1,0,0,10,0.8
9,8,1,2,0,0,11,0.7272727272727273
10,8,1,1,0,0,10,0.8
11,8,1,2,0,0,11,0.7272727272727273
12,8,1,2,0,0,11,0.7272727272727273
13,7,1,2,0,0,10,0.7
14,7,1,1,0,0,9,0.7777777777777778
15,8,1,2,0,0,11,0.7272727272727273
16,6,1,1,1,0,9,0.6666666666666666
17,6,1,2,0,0,9,0.6666666666666666
18,8,1,1,0,0,10,0.8
19,7,1,1,0,0,9,0.7777777777777778
20,7,1,1,0,0,9,0.7777777777777778
21,7,1,1,0,0,9,0.7777777777777778
22,2,4,2,0,0,8,0.25
23,4,4,1,0,0,9,0.4444444444444444
24,5,4,2,0,0,11,0.45454545454545453
25,4,4,2,0,0,10,0.4
26,5,1,1,0,0,7,0.7142857142857143
27,5,4,2,0,0,11,0.45454545454545453
28,6,4,2,0,0,12,0.5
29,5,4,2,0,0,11,0.45454545454545453
30,6,4,2,0,0,12,0.5
31,6,3,2,0,0,11,0.5454545454545454
32,6,3,2,0,0,11,0.5454545454545454
33,5,3,2,0,0,10,0.5
34,5,4,2,0,0,11,0.45454545454545453
35,6,2,2,0,0,10,0.6
36,4,3,2,0,0,9,0.4444444444444444
37,3,3,2,0,0,8,0.375
38,4,3,2,0,0,9,0.4444444444444444
39,6,1,2,0,0,9,0.6666666666666666
40,5,3,2,0,0,10,0.5
41,6,3,2,0,0,11,0.5454545454545454
42,3,3,2,0,0,8,0.375
43,5,2,2,0,0,9,0.5555555555555556
44,6,4,2,0,0,12,0.5
45,5,4,2,0,0,11,0.45454545454545453
46,6,3,2,0,0,11,0.5454545454545454
47,3,3,2,0,0,8,0.375
48,3,4,1,0,0,8,0.375
49,5,2,1,0,0,8,0.625
50,4,2,2,0,0,8,0.5
51,5,3,2,0,0,10,0.5
52,4,4,1,0,0,9,0.4444444444444444
53,6,3,2,0,0,11,0.5454545454545454
