frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,5,1,2,0,0,8,0.625
1,5,1,1,0,0,7,0.7142857142857143
2,5,1,2,0,0,8,0.625
3,5,1,1,0,0,7,0.7142857142857143
4,6,1,1,0,0,8,0.75
5,6,2,1,0,0,9,0.6666666666666666
6,3,1,2,0,0,6,0.5
7,4,1,1,0,0,6,0.6666666666666666
8,6,1,1,0,0,8,0.75
9,5,1,1,0,0,7,0.7142857142857143
10,6,1,2,0,0,9,0.6666666666666666
11,5,1,1,0,0,7,0.7142857142857143
12,6,2,1,0,0,9,0.6666666666666666
13,6,1,1,0,0,8,0.75
14,7,1,1,0,0,9,0.7777777777777778
15,7,1,1,0,0,9,0.7777777777777778
16,4,1,2,0,0,7,0.5714285714285714
17,6,2,1,0,0,9,0.6666666666666666
18,6,2,1,0,0,9,0.6666666666666666
19,5,1,1,0,0,7,0.7142857142857143
20,6,2,1,0,0,9,0.6666666666666666
21,3,1,1,0,0,5,0.6
22,5,1,1,0,0,7,0.7142857142857143
23,4,1,1,0,0,6,0.6666666666666666
24,5,1,1,0,0,7,0.7142857142857143
25,5,1,2,0,0,8,0.625
26,5,1,1,0,0,7,0.7142857142857143
27,3,1,2,0,0,6,0.5
28,5,2,1,0,0,8,0.625
29,4,1,2,0,0,7,0.5714285714285714
30,7,1,2,0,0,10,0.7
31,6,1,1,0,0,8,0.75
32,4,1,1,0,0,6,0.6666666666666666
33,6,1,1,0,0,8,0.75
34,4,1,1,0,0,6,0.6666666666666666
35,6,1,1,0,0,8,0.75
36,5,1,1,0,0,7,0.7142857142857143
37,5,1,1,0,0,7,0.7142857142857143
38,6,1,1,0,0,8,0.75
39,5,1,1,0,0,7,0.7142857142857143
40,5,1,1,0,0,7,0.7142857142857143
41,5,1,2,0,0,8,0.625
42,5,1,2,0,0,8,0.625
43,7,1,1,0,0,9,0.7777777777777778
44,5,1,1,0,0,7,0.7142857142857143
45,6,2,1,0,0,9,0.6666666666666666
46,6,1,1,0,0,8,0.75
47,6,1,2,0,0,9,0.6666666666666666
48,5,1,1,0,0,7,0.7142857142857143
49,6,1,1,0,0,8,0.75
50,6,1,1,0,0,8,0.75
51,4,1,1,0,0,6,0.6666666666666666
52,4,1,1,0,0,6,0.6666666666666666
53,3,1,1,0,0,5,0.6
54,5,1,1,0,0,7,0.7142857142857143
55,5,1,1,0,0,7,0.7142857142857143
56,4,1,1,0,0,6,0.6666666666666666
57,5,1,1,0,0,7,0.7142857142857143
58,6,1,1,0,0,8,0.75
59,6,1,1,0,0,8,0.75
60,6,1,2,0,0,9,0.6666666666666666
61,5,1,1,0,0,7,0.7142857142857143
62,4,1,1,0,0,6,0.6666666666666666
63,5,1,1,0,0,7,0.7142857142857143
64,6,2,1,0,0,9,0.6666666666666666
65,5,1,1,0,0,7,0.7142857142857143
66,4,1,1,0,0,6,0.6666666666666666
67,6,1,1,0,0,8,0.75
68,3,1,1,0,0,5,0.6
69,6,1,1,0,0,8,0.75
70,4,1,1,0,0,6,0.6666666666666666
71,4,1,2,0,0,7,0.5714285714285714
72,4,1,1,0,0,6,0.6666666666666666
73,5,1,1,0,0,7,0.7142857142857143
74,5,1,1,0,0,7,0.7142857142857143
75,5,1,2,0,0,8,0.625
76,5,1,1,0,0,7,0.7142857142857143
77,4,1,1,0,0,6,0.6666666666666666
78,5,1,2,0,0,8,0.625
