feature_a,feature_b,n,spearman_rho,spearman_p,pearson_r,pearson_p
hydration_count_ligand_4A_mean,pocket_water_density_accessible_frac_bulk,94,0.7331792074558393,4.392084979758471e-17,0.8210600003089911,3.997079910680598e-24
hydration_count_ligand_4A_mean,pocket_water_density_mean,94,0.7433370660694288,9.5117903480087e-18,0.8217341997777506,3.414913914616497e-24
hydration_count_pocket_4A_mean,pocket_water_density_accessible_frac_bulk,94,0.35294585124444605,0.00048455916962267877,0.3513282705876808,0.0005164928468711381
hydration_count_pocket_4A_mean,pocket_water_density_mean,94,0.3987790340642272,6.861560100494681e-05,0.37670775934876216,0.00018234596010127473
hydration_count_ligand_4A_mean,pocket_vol_mean,95,0.05293952967525196,0.6103895923188503,-0.21436041192019495,0.03698029471699773
hydration_count_ligand_4A_mean,mean_W_score,30,0.4117908787541713,0.023758748913501986,0.45553149532933385,0.011417866011283268
hydration_count_pocket_4A_mean,pocket_vol_mean,95,-0.12925531914893618,0.21188772489147478,-0.2078351568387986,0.043276099971048435
hydration_count_pocket_4A_mean,mean_W_score,30,-0.12080088987764183,0.5248583345204294,-0.05989202200924158,0.7532283216104916
pocket_water_density_accessible_frac_bulk,pocket_vol_mean,94,0.14143698298594806,0.1738991590303044,-0.26627598996147256,0.009483536210419405
pocket_water_density_accessible_frac_bulk,mean_W_score,29,-0.010344827586206895,0.9575252090147449,0.09114860587624951,0.6381835297940466
pocket_water_density_mean,pocket_vol_mean,94,0.14426904598490048,0.1653519665809544,-0.3245111723906026,0.0014179148642241477
pocket_water_density_mean,mean_W_score,29,-0.04630541871921181,0.8114768200328776,0.04213734296977503,0.8281840078414786
