feature,group_a,group_b,n_a,n_b,mean_a,mean_b,cohens_d,auc,p,q
hydration_count_pocket_4A_mean,Binder,False Positive,47,48,72.15110371256654,76.45048899755501,-0.6872984980326905,0.25975177304964536,5.560342248325295e-05,0.0005560342248325295
hydration_count_ligand_4A_mean,Binder,False Positive,47,48,7.122128006381245,6.482562483020918,0.28210497202929113,0.6458333333333333,0.014475726732238492,0.07237863366119246
pocket_water_density_frac_solvent_accessible,Binder,False Positive,46,48,0.5617334874764321,0.5567338563277552,0.16613975674265533,0.6014492753623188,0.09093856005842939,0.2346568756134149
pocket_water_density_accessible_n_voxels,Binder,False Positive,46,48,9634.934782608696,9552.0625,0.1605055619155187,0.6005434782608696,0.09386275024536596,0.2346568756134149
pocket_water_density_accessible_frac_bulk,Binder,False Positive,46,48,0.10800255364588775,0.11386686174859313,-0.10745884445354113,0.5276268115942029,0.6472408696341847,0.8411398115449984
pocket_water_density_accessible_mean,Binder,False Positive,46,48,0.00045091057226005196,0.00047539405374485847,-0.10745884445355922,0.5276268115942029,0.6472408696341847,0.8411398115449984
pocket_water_density_accessible_per_ang3,Binder,False Positive,46,48,0.003607285291772603,0.0038031531824029643,-0.10745884445354202,0.5276268115942029,0.6472408696341847,0.8411398115449984
pocket_water_density_mean,Binder,False Positive,46,48,0.00027187253927706125,0.00029504071692051074,-0.14863768111463943,0.5122282608695652,0.8411398115449984,0.8411398115449984
pocket_water_density_frac_bulk,Binder,False Positive,46,48,0.0651191839679954,0.07066844917211774,-0.14863768111462883,0.5122282608695652,0.8411398115449984,0.8411398115449984
pocket_water_density_per_ang3,Binder,False Positive,46,48,0.002174980744531002,0.0023603262023486793,-0.1486376811146217,0.5122282608695652,0.8411398115449984,0.8411398115449984
