seq_id,seq_type,hydration_count_pocket_3A_mean,hydration_count_pocket_3A_std,hydration_count_pocket_3A_min,hydration_count_pocket_3A_max,hydration_count_pocket_3A_early20_mean,hydration_count_pocket_3A_late20_mean,hydration_count_pocket_3A_drift20,hydration_count_pocket_3A_slope,hydration_count_pocket_3A_slope_per_ns,hydration_count_pocket_4A_mean,hydration_count_pocket_4A_std,hydration_count_pocket_4A_min,hydration_count_pocket_4A_max,hydration_count_pocket_4A_early20_mean,hydration_count_pocket_4A_late20_mean,hydration_count_pocket_4A_drift20,hydration_count_pocket_4A_slope,hydration_count_pocket_4A_slope_per_ns,hydration_count_pocket_5A_mean,hydration_count_pocket_5A_std,hydration_count_pocket_5A_min,hydration_count_pocket_5A_max,hydration_count_pocket_5A_early20_mean,hydration_count_pocket_5A_late20_mean,hydration_count_pocket_5A_drift20,hydration_count_pocket_5A_slope,hydration_count_pocket_5A_slope_per_ns,hydration_count_pocket_6A_mean,hydration_count_pocket_6A_std,hydration_count_pocket_6A_min,hydration_count_pocket_6A_max,hydration_count_pocket_6A_early20_mean,hydration_count_pocket_6A_late20_mean,hydration_count_pocket_6A_drift20,hydration_count_pocket_6A_slope,hydration_count_pocket_6A_slope_per_ns,hydration_count_pocket_8A_mean,hydration_count_pocket_8A_std,hydration_count_pocket_8A_min,hydration_count_pocket_8A_max,hydration_count_pocket_8A_early20_mean,hydration_count_pocket_8A_late20_mean,hydration_count_pocket_8A_drift20,hydration_count_pocket_8A_slope,hydration_count_pocket_8A_slope_per_ns,n_frames
seq16_binder,Binder,15.513447432762836,2.9890493043055013,6.0,26.0,14.36734693877551,18.677551020408163,4.310204081632653,4.845177321344666,0.0105387217430009,59.416462917685415,6.647130346944981,41.0,85.0,56.285714285714285,67.0734693877551,10.787755102040812,11.530323423301446,0.025079550676022733,102.64140179299103,8.6534387542153,74.0,131.0,98.51836734693877,114.06938775510204,15.551020408163268,16.7302390035281,0.036389861889131285,154.45965770171148,11.15252311573359,127.0,194.0,150.24897959183673,169.4938775510204,19.244897959183675,21.317689128166734,0.046368002453870016,330.19804400977995,17.423692646759925,291.0,394.0,321.60408163265305,354.930612244898,33.32653061224494,37.352380876532116,0.08124498287445808,1227
seq14_binder,Binder,19.41157294213529,2.6207055397073966,10.0,29.0,19.37142857142857,20.289795918367346,0.9183673469387763,1.0294752435032604,0.0022392066199092143,73.26161369193154,5.4629986007884686,59.0,92.0,72.78775510204082,75.89795918367346,3.110204081632645,4.260960633307583,0.009267994852218776,120.47677261613691,6.1780224098118035,102.0,140.0,120.12653061224489,123.08163265306122,2.955102040816328,4.213693524366254,0.009165184392313766,175.75387123064385,7.378887320328719,147.0,200.0,176.07755102040815,177.58367346938775,1.5061224489795961,2.706004157275633,0.00588581654654841,358.31784841075796,10.74699932039956,322.0,394.0,360.58367346938775,359.3265306122449,-1.2571428571428669,-0.3425849971727312,-0.0007451549693806071,1227
seq10_binder,Binder,18.58516707416463,2.861350528435279,10.0,27.0,16.824489795918367,19.738775510204082,2.9142857142857146,4.226651163161123,0.009193368489746863,63.44091279543602,5.216304619712206,47.0,81.0,62.20816326530612,64.46122448979592,2.253061224489805,4.327190334732366,0.009412050755263437,107.31458842705787,6.060720251346537,89.0,126.0,104.38367346938776,107.84489795918367,3.46122448979591,5.488535635497716,0.011938087298526849,160.77343113284434,7.643600209891129,135.0,188.0,155.77551020408163,162.1265306122449,6.351020408163265,9.517907345316692,0.020702354204060233,342.2640586797066,12.571829318383806,302.0,383.0,332.28979591836736,344.3061224489796,12.016326530612218,16.43542285545901,0.03574860871225451,1227
seq17_binder,Binder,14.250203748981255,2.409602402901243,6.0,23.0,13.085714285714285,16.379591836734694,3.293877551020408,3.698016135326489,0.008043536999078824,53.349633251833744,5.4381764507212855,38.0,73.0,51.15102040816326,57.33061224489796,6.179591836734694,6.474120560993289,0.014081828300148529,93.43439282803585,6.2937769955187495,74.0,119.0,90.90204081632653,97.5061224489796,6.604081632653063,7.346805985839781,0.01598000214429533,143.19070904645477,7.990896107799649,119.0,178.0,141.60816326530613,148.92244897959185,7.314285714285717,8.136951171921664,0.01769864311456588,317.80521597392016,12.376478421077197,284.0,365.0,315.67755102040815,327.7959183673469,12.118367346938783,14.407277621592346,0.031337199829455896,1227
seq39_binder,Binder,18.816625916870414,3.437382681562764,9.0,29.0,15.779591836734694,20.175510204081633,4.395918367346939,6.272986468943876,0.01364434250993774,66.10676446617767,7.130007861616144,44.0,87.0,58.77142857142857,68.8,10.028571428571425,12.379132387725681,0.02692579094665727,111.26242868785656,9.217709911283048,87.0,140.0,100.83265306122449,115.11020408163266,14.277551020408168,18.2067965881669,0.03960151514555061,165.36511817440913,11.482683431675097,131.0,196.0,152.73877551020408,169.15510204081633,16.416326530612253,21.222852273360783,0.04616172326995277,349.8679706601467,16.46498869380103,302.0,395.0,333.7551020408163,356.8,23.044897959183686,30.434658299021194,0.06619827797503253,1227
seq42_binder,Binder,19.30073349633252,2.6223957609756012,12.0,28.0,18.34285714285714,19.66938775510204,1.3265306122448983,1.321296878857625,0.0028739464466723767,78.49470252648737,7.218711286488114,54.0,99.0,71.17959183673469,82.58367346938776,11.404081632653075,14.283323909113358,0.03106758870932758,130.28850855745722,9.89257161112431,104.0,162.0,117.87346938775511,137.33469387755102,19.46122448979591,24.015936223250474,0.052236946651985826,191.50937245313773,12.27545314735603,157.0,227.0,176.3265306122449,200.45714285714286,24.130612244897947,29.769820727443605,0.06475219299063316,397.88916055419725,18.038827222394183,353.0,446.0,375.8326530612245,410.1061224489796,34.273469387755085,43.39989487348979,0.09439890130177227,1227
pair_3069_binder,Binder,22.899755501222494,3.3709374325436805,11.0,32.0,19.583673469387755,23.244897959183675,3.66122448979592,3.5240158326895648,0.007665069782902808,74.62184189079055,7.424190874187615,53.0,96.0,65.79591836734694,74.7265306122449,8.930612244897958,7.700994719782105,0.016750396345366184,120.53300733496333,8.568503058537582,92.0,148.0,110.51020408163265,120.29387755102042,9.783673469387764,7.656204455134072,0.016652973257496626,175.24531377343112,10.192969457843917,140.0,212.0,164.4204081632653,174.23673469387754,9.81632653061223,7.586207720427198,0.016500723698590958,361.0423797881011,15.116601846523688,300.0,409.0,345.7918367346939,360.4,14.608163265306075,12.616582910570786,0.02744226842973527,1227
pair_3070_binder,Binder,20.013039934800325,3.3213874813361053,10.0,29.0,16.677551020408163,21.29795918367347,4.6204081632653065,5.614058281500124,0.012211110998368944,69.63488182559087,7.0181059968556205,46.0,91.0,61.751020408163264,73.9673469387755,12.216326530612243,12.43062048533405,0.027037782458584132,115.71882640586797,9.084229378354168,87.0,140.0,104.33877551020409,122.11020408163266,17.771428571428572,19.075300844994146,0.04149059455137389,169.9356153219234,10.873800549707083,136.0,200.0,158.32244897959183,177.48979591836735,19.167346938775523,21.7856295246211,0.047385817345559765,358.88182559087204,15.124580852852466,307.0,398.0,344.50204081632654,369.57551020408164,25.073469387755097,29.159155165136216,0.06342393728142734,1227
pair_3074_binder,Binder,22.621841890790545,3.7395368441482573,12.0,34.0,18.53469387755102,24.2,5.665306122448978,7.173291495106041,0.01560259161523881,74.88101059494703,6.480654400312168,53.0,98.0,69.69795918367348,73.06122448979592,3.363265306122443,4.103207154974,0.008924866024957033,123.46454767726162,7.615302647456374,96.0,148.0,118.01632653061225,121.17551020408163,3.1591836734693857,4.4261526086506375,0.009627303118326564,180.95354523227383,9.236384595162944,152.0,219.0,174.4408163265306,180.18367346938774,5.742857142857133,8.279333880203565,0.018008339054276377,376.86552567237163,13.043242347435609,334.0,431.0,369.57551020408164,379.2530612244898,9.677551020408146,12.694567667226806,0.027611892696523786,1227
pair_3092_binder,Binder,18.159739201303992,2.7508154109384684,9.0,28.0,18.65714285714286,17.077551020408162,-1.5795918367346964,-3.012264759523107,-0.006551962500322148,67.34311328443358,5.5292472202405145,51.0,93.0,68.76326530612245,65.85306122448979,-2.9102040816326564,-4.183350190740899,-0.00909918475419446,112.38223308883455,6.420330679338812,94.0,146.0,115.15918367346939,111.5061224489796,-3.6530612244897895,-5.475458534759445,-0.011909643359998787,167.39282803585982,8.46126689080815,145.0,214.0,171.62857142857143,166.9591836734694,-4.669387755102036,-6.640570868806896,-0.014443873559123202,352.83537082314587,12.804808365728402,319.0,427.0,359.50612244897957,353.37142857142857,-6.134693877551001,-9.535842565086844,-0.020741365013783257,1227
