Sequence,Group,Gate RMSD mean (A),Gate RMSD SD (A),Latch RMSD mean (A),Latch RMSD SD (A),N frames,Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns)
seq16_binder,Binder,1.5062,0.7238,1.1878,0.3508,12267,1.0966,2.54,1.4434,0.003898,1.0298,1.253,0.2232,0.000579
seq14_binder,Binder,1.5201,0.3125,1.6566,0.296,12267,1.3419,1.5227,0.1808,0.000399,1.6152,1.5219,-0.0933,-0.000251
seq10_binder,Binder,1.3737,0.3637,3.0752,0.5386,12267,1.4907,1.4443,-0.0464,-0.000139,2.6132,3.0262,0.413,0.001053
seq17_binder,Binder,2.3329,0.462,2.3594,0.55,12267,2.356,2.1259,-0.2301,-0.000589,2.0541,2.6499,0.5958,0.001801
seq39_binder,Binder,1.6215,0.5525,2.354,0.6424,12267,1.8929,1.328,-0.5649,-0.001451,2.0049,2.9569,0.952,0.003001
seq42_binder,Binder,2.2756,0.8688,3.6917,0.9904,12267,1.4199,2.7893,1.3693,0.004159,2.1875,4.1589,1.9715,0.005161
pair_3069_binder,Binder,2.5756,0.5726,4.4248,1.0633,12267,2.1584,2.7978,0.6393,0.001726,2.6377,4.9449,2.3073,0.005712
pair_3070_binder,Binder,1.9043,0.7286,1.5353,0.2988,12267,2.8544,1.7093,-1.145,-0.003133,1.3943,1.6324,0.2381,0.000437
pair_3074_binder,Binder,1.7783,0.575,2.2744,0.4808,12267,1.6773,1.7977,0.1204,-0.000271,2.4086,2.0618,-0.3468,-0.001397
pair_3092_binder,Binder,1.4785,0.3909,1.958,0.3946,12267,1.356,1.3232,-0.0328,-0.000169,1.458,2.1979,0.7399,0.001779
pair_3098_binder,Binder,2.2899,0.6371,2.6457,0.8011,12267,1.7933,2.5834,0.79,0.001719,1.7344,3.2364,1.5019,0.003272
pair_3059_nb,False Positive,1.5635,0.4557,4.1535,1.155,12267,1.3577,1.7708,0.4131,0.001067,2.5554,5.3601,2.8047,0.006602
pair_3062_binder,Binder,1.0876,0.3114,1.3144,0.2715,12267,1.1846,1.1222,-0.0624,4e-05,1.2459,1.3849,0.139,0.000341
pair_3063_binder,Binder,3.7751,1.1729,3.2489,0.9028,12267,4.6849,3.8774,-0.8074,-0.002859,3.6143,3.7496,0.1353,-0.001227
pair_3066_binder,Binder,2.5591,0.6983,1.7237,0.615,12267,2.3986,2.7046,0.306,0.000386,2.3366,1.6654,-0.6712,-0.001743
pair_3067_binder,Binder,2.0322,0.6413,2.4128,0.6761,12267,2.4905,1.7478,-0.7427,-0.001992,2.607,2.8025,0.1955,0.000262
pair_3068_binder,Binder,1.8706,0.5997,2.4232,0.9738,12267,2.2629,1.76,-0.5029,-0.001015,1.8888,2.2167,0.3279,-0.000303
pair_3071_binder,Binder,1.9063,0.7865,1.9148,0.7828,12267,2.9005,1.8145,-1.086,-0.002516,1.1684,2.63,1.4616,0.004283
pair_3072_binder,Binder,2.0996,0.5456,1.8151,0.4104,12267,2.4299,1.9757,-0.4543,-0.001027,2.1448,1.8211,-0.3237,-0.00084
pair_3073_binder,Binder,1.7797,0.545,2.5727,0.7931,12267,1.7797,1.717,-0.0628,-0.000102,2.7268,2.143,-0.5838,-0.001306
pair_3075_binder,Binder,1.3249,0.4049,1.3927,0.3217,12267,1.2894,1.4389,0.1495,0.000327,1.3137,1.418,0.1043,0.000232
pair_3076_binder,Binder,1.4233,0.4781,1.979,0.4446,12267,1.2815,1.5011,0.2195,0.000643,1.5896,1.8277,0.2381,0.000578
pair_3077_binder,Binder,1.3248,0.4285,1.5498,0.4155,12267,1.1466,1.4572,0.3106,0.001207,1.9569,1.4287,-0.5283,-0.001038
pair_3078_binder,Binder,1.8321,0.8433,1.4916,0.3331,12267,3.0609,1.2934,-1.7674,-0.004666,1.3945,1.4107,0.0162,-0.000288
pair_3079_binder,Binder,1.2067,0.3668,3.0439,0.6875,12267,1.1042,1.2887,0.1845,0.000394,2.1903,3.7366,1.5463,0.003656
pair_3080_binder,Binder,2.0211,0.533,3.7715,0.8304,12267,1.7498,2.0016,0.2518,0.00041,2.9113,4.14,1.2287,0.002847
pair_3085_binder,Binder,2.776,0.662,1.8243,0.3625,12267,2.672,2.7062,0.0342,0.000241,1.9611,1.7704,-0.1906,-0.000685
pair_3086_binder,Binder,1.8119,0.4892,1.4739,0.2684,12267,1.8857,1.7942,-0.0915,-0.000661,1.467,1.5798,0.1128,0.000172
pair_3087_binder,Binder,2.2016,0.7988,2.1405,0.4847,12267,2.5649,2.1581,-0.4068,-0.000157,1.7764,2.3234,0.547,0.001809
pair_3088_binder,Binder,1.7501,0.7237,1.8731,1.226,12267,1.2747,1.4225,0.1478,0.001281,1.1318,3.3412,2.2095,0.004778
pair_3091_binder,Binder,2.4071,0.6626,2.4699,0.9206,12267,2.3813,2.3448,-0.0365,0.000505,2.7901,2.1549,-0.6352,-6.7e-05
pair_3099_binder,Binder,4.0729,0.6322,2.6497,0.5188,12267,4.0646,4.0693,0.0047,-0.000164,2.5036,2.7746,0.271,0.000719
pair_3100_binder,Binder,2.3393,0.7522,1.7364,0.3527,12267,2.7769,1.7493,-1.0276,-0.002896,1.8144,1.6789,-0.1355,-0.000186
pair_3101_binder,Binder,1.4362,0.6142,2.2148,0.5398,12267,1.8748,1.1243,-0.7505,-0.002095,2.0961,2.409,0.3129,0.001013
pair_3103_binder,Binder,1.3604,0.4959,1.4641,0.4304,12267,1.1351,1.3273,0.1922,0.00047,1.8931,1.2858,-0.6073,-0.001636
pair_3104_binder,Binder,1.4291,0.5932,1.7967,0.6957,12267,0.9965,1.584,0.5875,0.002085,1.1071,2.1911,1.084,0.003385
pair_3108_binder,Binder,1.2919,0.6043,1.8171,0.5515,12267,1.7934,1.2264,-0.567,-0.001751,1.513,1.9514,0.4383,-1.2e-05
seq1_nb,False Positive,4.6832,1.0741,2.4125,0.5022,12267,3.3918,5.2416,1.8497,0.00476,2.5617,2.3232,-0.2385,-0.001023
seq2_nb,False Positive,2.2601,0.6097,1.6998,0.3781,12267,2.3367,1.9708,-0.3659,-0.00061,1.5899,1.9661,0.3762,0.000873
seq3_nb,False Positive,4.6945,1.7317,2.8839,1.2346,12267,3.6407,6.2008,2.5602,0.007816,4.3134,2.2955,-2.0179,-0.005904
seq4_nb,False Positive,2.9934,1.2939,2.4524,0.4404,12267,2.0487,4.9444,2.8957,0.006963,1.9547,2.7206,0.7659,0.002023
seq5_nb,False Positive,4.7793,1.7836,3.0138,0.9856,12267,2.374,5.7582,3.3842,0.010458,2.0264,3.948,1.9215,0.005865
seq6_nb,False Positive,3.0117,0.8486,1.9825,0.5786,12267,2.6346,3.1589,0.5242,0.000935,1.6151,2.1372,0.5221,0.001174
seq7_nb,False Positive,5.1526,1.6561,3.2124,0.8425,12267,3.8238,6.3755,2.5518,0.008104,2.7531,3.583,0.8299,0.001827
pair_0052_nb,False Positive,6.019,1.1111,1.4875,0.537,12267,4.8191,6.2126,1.3935,0.003396,2.198,1.2009,-0.9971,-0.002442
pair_0091_nb,False Positive,2.2041,1.0792,2.8873,0.9056,12267,1.545,2.65,1.105,0.004223,3.5123,2.4243,-1.088,-0.00352
pair_0246_nb,False Positive,2.7873,0.8686,2.7891,0.5925,12267,2.4843,2.6641,0.1798,-0.000224,2.1921,2.7473,0.5552,0.001061
pair_0269_nb,False Positive,2.7682,0.7213,1.5261,0.3374,12267,2.6376,3.3561,0.7184,0.002124,1.473,1.8927,0.4197,0.001013
pair_0272_nb,False Positive,2.3937,0.7223,3.4762,0.9705,12267,1.7833,2.9019,1.1186,0.002895,2.0386,3.75,1.7114,0.004048
pair_0276_nb,False Positive,1.6224,0.609,3.3933,0.6845,12267,1.5576,1.4604,-0.0973,-0.000441,2.9226,3.6211,0.6985,0.00195
pair_0288_nb,False Positive,2.1516,0.6464,3.2631,0.7676,12267,1.985,1.87,-0.115,-0.000722,3.1902,2.8613,-0.3288,-0.001494
pair_0351_nb,False Positive,3.0706,0.8895,2.7468,0.5737,12267,2.6014,3.5452,0.9438,0.002446,2.5003,2.7074,0.2071,-0.000177
pair_0502_nb,False Positive,1.8536,0.6454,2.3899,0.7761,12267,2.6078,1.5475,-1.0602,-0.002991,1.5582,2.968,1.4098,0.00342
pair_0506_nb,False Positive,1.4286,0.5691,2.0525,0.5709,12267,2.0506,1.2496,-0.801,-0.001994,1.7225,2.374,0.6515,0.001551
pair_0647_nb,False Positive,1.8256,0.5243,2.5189,0.7292,12267,1.716,2.1942,0.4782,0.001551,2.1183,3.0226,0.9043,0.0032
pair_0777_nb,False Positive,2.8044,0.5443,2.0814,0.5082,12267,2.8565,2.5418,-0.3147,-0.001083,1.9699,2.2901,0.3202,0.000474
pair_0827_nb,False Positive,1.8789,0.4803,2.1544,0.2808,12267,1.8556,1.5538,-0.3018,-0.000706,2.0703,2.3857,0.3154,0.000704
pair_1824_nb,False Positive,2.3382,0.8558,2.0594,0.4928,12267,2.8978,1.8718,-1.026,-0.003337,2.1771,1.9556,-0.2215,-0.000675
